Heure;Event;Fichier
18h20m38s;START ENCODER;0018.h264
18h20m38s;START MOTEUR; 
18h20m48s;START AWB ALGO; 
18h20m48s;END AWB ALGO; 
18h20m58s;START AWB ALGO; 
18h20m58s;END AWB ALGO; 
18h21m08s;START AWB ALGO; 
18h21m08s;END AWB ALGO; 
18h21m17s;START AWB ALGO; 
18h21m17s;END AWB ALGO; 
18h21m27s;START AWB ALGO; 
18h21m27s;END AWB ALGO; 
18h21m36s;START AWB ALGO; 
18h21m36s;END AWB ALGO; 
18h21m46s;START AWB ALGO; 
18h21m48s;END AWB ALGO; 
18h21m57s;START AWB ALGO; 
18h21m59s;END AWB ALGO; 
18h22m08s;START AWB ALGO; 
18h22m08s;END AWB ALGO; 
18h22m18s;START AWB ALGO; 
18h22m18s;END AWB ALGO; 
18h22m28s;START AWB ALGO; 
18h22m29s;END AWB ALGO; 
18h22m38s;START AWB ALGO; 
18h22m39s;END AWB ALGO; 
18h22m49s;START AWB ALGO; 
18h22m49s;END AWB ALGO; 
18h22m59s;START AWB ALGO; 
18h22m59s;END AWB ALGO; 
18h23m08s;START AWB ALGO; 
18h23m08s;END AWB ALGO; 
18h23m18s;START AWB ALGO; 
18h23m18s;END AWB ALGO; 
18h23m27s;START AWB ALGO; 
18h23m27s;END AWB ALGO; 
18h23m37s;START AWB ALGO; 
18h23m37s;END AWB ALGO; 
18h23m46s;START AWB ALGO; 
18h23m46s;END AWB ALGO; 
18h23m56s;START AWB ALGO; 
18h23m56s;END AWB ALGO; 
18h24m05s;START AWB ALGO; 
18h24m05s;END AWB ALGO; 
18h24m15s;START AWB ALGO; 
18h24m15s;END AWB ALGO; 
18h24m24s;START AWB ALGO; 
18h24m25s;END AWB ALGO; 
18h24m34s;START AWB ALGO; 
18h24m34s;END AWB ALGO; 
18h24m44s;START AWB ALGO; 
18h24m44s;END AWB ALGO; 
18h24m55s;START AWB ALGO; 
18h24m55s;END AWB ALGO; 
18h25m04s;START AWB ALGO; 
18h25m04s;END AWB ALGO; 
18h25m14s;START AWB ALGO; 
18h25m14s;END AWB ALGO; 
18h25m23s;START AWB ALGO; 
18h25m23s;END AWB ALGO; 
18h25m33s;START AWB ALGO; 
18h25m33s;END AWB ALGO; 
18h25m42s;START AWB ALGO; 
18h25m42s;END AWB ALGO; 
18h25m52s;START AWB ALGO; 
18h25m53s;END AWB ALGO; 
18h26m03s;START AWB ALGO; 
18h26m03s;END AWB ALGO; 
18h26m13s;START AWB ALGO; 
18h26m13s;END AWB ALGO; 
18h26m22s;START AWB ALGO; 
18h26m24s;END AWB ALGO; 
18h26m33s;START AWB ALGO; 
18h26m34s;END AWB ALGO; 
18h26m44s;START AWB ALGO; 
18h26m44s;END AWB ALGO; 
18h26m53s;START AWB ALGO; 
18h26m53s;END AWB ALGO; 
18h27m03s;START AWB ALGO; 
18h27m03s;END AWB ALGO; 
18h27m12s;START AWB ALGO; 
18h27m12s;END AWB ALGO; 
18h27m22s;START AWB ALGO; 
18h27m22s;END AWB ALGO; 
18h27m25s; SORTIE BOUTON
18h27m25s;END MOTEUR; 
18h27m26s;END ENCODER;0018.h264
18h27m26s;START CONVERSION;0018.h264
18h27m27s;END CONVERSION;0018.mp4
