Heure;Event;Fichier
10h45m21s;START ENCODER;0043.h264
10h45m31s;START AWB ALGO; 
10h45m31s;END AWB ALGO; 
10h45m40s;START AWB ALGO; 
10h45m40s;END AWB ALGO; 
10h45m50s;START AWB ALGO; 
10h45m55s;END AWB ALGO; 
10h46m04s;START AWB ALGO; 
10h46m08s;END AWB ALGO; 
10h46m18s;START AWB ALGO; 
10h46m18s;END AWB ALGO; 
10h46m27s;START AWB ALGO; 
10h46m28s;END AWB ALGO; 
10h46m37s;START AWB ALGO; 
10h46m37s;END AWB ALGO; 
10h46m47s;START AWB ALGO; 
10h46m47s;END AWB ALGO; 
10h46m56s;START AWB ALGO; 
10h46m56s;END AWB ALGO; 
10h47m06s;START AWB ALGO; 
10h47m06s;END AWB ALGO; 
10h47m15s;START AWB ALGO; 
10h47m15s;END AWB ALGO; 
10h47m25s;START AWB ALGO; 
10h47m25s;END AWB ALGO; 
10h47m35s;START AWB ALGO; 
10h47m35s;END AWB ALGO; 
10h47m44s;START AWB ALGO; 
10h47m44s;END AWB ALGO; 
10h47m54s;START AWB ALGO; 
10h47m54s;END AWB ALGO; 
10h48m03s;START AWB ALGO; 
10h48m03s;END AWB ALGO; 
10h48m13s;START AWB ALGO; 
10h48m13s;END AWB ALGO; 
10h48m22s;START AWB ALGO; 
10h48m23s;END AWB ALGO; 
10h48m32s;START AWB ALGO; 
10h48m32s;END AWB ALGO; 
10h48m42s;START AWB ALGO; 
10h48m42s;END AWB ALGO; 
10h48m51s;START AWB ALGO; 
10h48m51s;END AWB ALGO; 
10h49m01s;START AWB ALGO; 
10h49m01s;END AWB ALGO; 
10h49m11s;START AWB ALGO; 
10h49m11s;END AWB ALGO; 
10h49m20s;START AWB ALGO; 
10h49m20s;END AWB ALGO; 
10h49m30s;START AWB ALGO; 
10h49m30s;END AWB ALGO; 
10h49m39s;START AWB ALGO; 
10h49m39s;END AWB ALGO; 
10h49m49s;START AWB ALGO; 
10h49m49s;END AWB ALGO; 
10h49m59s;START AWB ALGO; 
10h49m59s;END AWB ALGO; 
10h50m08s;START AWB ALGO; 
10h50m08s;END AWB ALGO; 
10h50m18s;START AWB ALGO; 
10h50m18s;END AWB ALGO; 
10h50m27s;START AWB ALGO; 
10h50m28s;END AWB ALGO; 
10h50m37s;START AWB ALGO; 
10h50m37s;END AWB ALGO; 
10h50m47s;START AWB ALGO; 
10h50m47s;END AWB ALGO; 
10h50m56s;START AWB ALGO; 
10h50m56s;END AWB ALGO; 
10h51m06s;START AWB ALGO; 
10h51m06s;END AWB ALGO; 
10h51m16s;START AWB ALGO; 
10h51m16s;END AWB ALGO; 
10h51m25s;START AWB ALGO; 
10h51m25s;END AWB ALGO; 
10h51m35s;START AWB ALGO; 
10h51m35s;END AWB ALGO; 
10h51m45s;START AWB ALGO; 
10h51m45s;END AWB ALGO; 
10h51m55s;START AWB ALGO; 
