HMS;Lat;Long;Pression;TempC;RLux;GLux;BLux;XMagneto;YMagneto;ZMagneto;TempCPU;Delta(s);TStamp;ExpTime;AnG;DiG;Lux;RedG;BlueG;Bright;TStamp2;ExpTime2;AnG2;DiG2;Lux2;RedG2;BlueG2;Bright2
10h45m21s;;;1008.5;19.6;532;835;519;;;;66.65;0.0;1609478196000;2725;1.0;1.0;1180.5;1.3;1.9;0.0;1609487748000;2458;1.0;1.0;1324.6;1.3;1.9;0.0
10h45m22s;;;1008.8;19.6;534;833;521;;;;69.40;1.1;1610519689000;2725;1.0;1.0;1179.3;1.3;1.9;0.0;1610529236000;2458;1.0;1.0;1318.3;1.3;1.9;0.0
10h45m23s;;;1008.8;19.6;532;839;521;;;;71.05;2.1;1611561184000;2725;1.0;1.0;1188.0;1.3;1.9;0.0;1611570723000;2458;1.0;1.0;1332.9;1.3;1.9;0.0
10h45m24s;;;1008.7;19.6;538;838;524;;;;71.60;3.2;1612602682000;2710;1.0;1.0;1192.3;1.3;1.9;0.0;1612612213000;2429;1.0;1.0;1334.0;1.3;1.9;0.0
10h45m25s;;;1008.9;19.6;539;841;525;;;;72.70;4.2;1613685836000;2710;1.0;1.0;1196.2;1.3;1.9;0.0;1613695360000;2429;1.0;1.0;1347.5;1.3;1.9;0.0
10h45m27s;;;1008.8;19.7;539;845;528;;;;72.15;5.3;1614727333000;2680;1.0;1.0;1205.4;1.3;1.9;0.0;1614736849000;2414;1.0;1.0;1351.0;1.3;1.9;0.0
10h45m28s;;;1009.0;19.7;544;851;532;;;;73.25;6.3;1615768826000;2680;1.0;1.0;1208.1;1.3;1.9;0.0;1615778337000;2414;1.0;1.0;1350.5;1.3;1.9;0.0
10h45m29s;;;1008.6;19.7;542;850;532;;;;73.80;7.4;1616810321000;2651;1.0;1.0;1209.6;1.3;1.9;0.0;1616819825000;2384;1.0;1.0;1347.3;1.3;1.9;0.0
10h45m30s;;;1009.0;19.7;545;851;532;;;;74.35;8.4;1617851815000;2651;1.0;1.0;1210.2;1.3;1.9;0.0;1617861315000;2384;1.0;1.0;1360.3;1.3;1.9;0.0
10h45m31s;;;1008.4;19.7;542;847;530;;;;73.80;9.4;1618893313000;2651;1.0;1.0;1217.2;1.3;1.9;0.0;1618902805000;2384;1.0;1.0;1364.3;1.3;1.9;0.0
