Heure;Event;Fichier
15h21m14s;START ENCODER;0045.h264
15h21m23s;START AWB ALGO; 
15h21m24s;END AWB ALGO; 
15h21m33s;START AWB ALGO; 
15h21m33s;END AWB ALGO; 
15h21m43s;START AWB ALGO; 
15h21m43s;END AWB ALGO; 
15h21m53s;START AWB ALGO; 
15h21m53s;END AWB ALGO; 
15h22m02s;START AWB ALGO; 
15h22m07s;END AWB ALGO; 
15h22m17s;START AWB ALGO; 
15h22m22s;END AWB ALGO; 
15h22m31s;START AWB ALGO; 
15h22m36s;END AWB ALGO; 
15h22m46s;START AWB ALGO; 
15h22m51s;END AWB ALGO; 
15h23m00s;START AWB ALGO; 
15h23m06s;END AWB ALGO; 
15h23m15s;START AWB ALGO; 
15h23m20s;END AWB ALGO; 
15h23m30s;START AWB ALGO; 
15h23m35s;END AWB ALGO; 
15h23m44s;START AWB ALGO; 
15h23m49s;END AWB ALGO; 
15h23m59s;START AWB ALGO; 
15h24m04s;END AWB ALGO; 
15h24m13s;START AWB ALGO; 
15h24m18s;END AWB ALGO; 
15h24m28s;START AWB ALGO; 
15h24m33s;END AWB ALGO; 
15h24m42s;START AWB ALGO; 
15h24m47s;END AWB ALGO; 
15h24m57s;START AWB ALGO; 
15h25m02s;END AWB ALGO; 
15h25m12s;START AWB ALGO; 
15h25m17s;END AWB ALGO; 
15h25m26s;START AWB ALGO; 
15h25m31s;END AWB ALGO; 
15h25m41s;START AWB ALGO; 
15h25m46s;END AWB ALGO; 
15h25m55s;START AWB ALGO; 
15h26m00s;END AWB ALGO; 
15h26m10s;START AWB ALGO; 
15h26m12s;END AWB ALGO; 
15h26m21s;START AWB ALGO; 
15h26m22s;END AWB ALGO; 
15h26m28s; SORTIE BOUTON
15h26m29s;END ENCODER;0045.h264
15h26m29s;START CONVERSION;0045.h264
15h26m31s;END CONVERSION;0045.mp4
