HMS;Lat;Long;Pression;TempC;RLux;GLux;BLux;XMagneto;YMagneto;ZMagneto;TempCPU;Delta(s);TStamp;ExpTime;AnG;DiG;Lux;RedG;BlueG;Bright
18h39m35s;48.35922;-4.55753;1033.8;12.6;;;;;;;63.35;0.0;3403567578000;29018;1.5;1.0;118.4;1.0;1.5;0.0
18h39m36s;48.35922;-4.55753;1034.2;12.6;;;;;;;64.45;1.1;3404609216000;28750;1.5;1.0;116.6;1.0;1.5;0.0
18h39m37s;48.35922;-4.55753;1034.2;12.6;;;;;;;64.45;2.1;3405650852000;28750;1.5;1.0;115.8;1.0;1.5;0.0
18h39m38s;48.35922;-4.55753;1034.2;12.6;;;;;;;66.10;3.1;3406692488000;28750;1.5;1.0;115.1;1.0;1.5;0.0
18h39m39s;48.35922;-4.55753;1034.5;12.6;;;;;;;65.00;4.2;3407734124000;28750;1.5;1.0;115.9;1.0;1.5;0.0
18h39m40s;48.35922;-4.55753;1034.3;12.6;;;;;;;65.55;5.2;3408775760000;28750;1.5;1.0;115.9;1.0;1.5;0.0
18h39m41s;48.35922;-4.55753;1034.2;12.6;;;;;;;66.10;6.3;3409817396000;23867;1.5;1.0;170.7;1.0;1.5;0.0
18h39m42s;48.35923;-4.55752;1034.0;12.6;;;;;;;65.00;7.3;3410859032000;8172;1.0;1.0;976.8;1.0;1.5;0.0
18h39m44s;48.35923;-4.55752;1034.2;12.6;;;;;;;66.10;8.4;3411900667000;11178;1.5;1.0;462.0;1.0;1.5;0.0
18h39m45s;48.35923;-4.55751;1033.9;12.7;;;;;;;67.20;9.4;3412983968000;13098;1.5;1.0;310.2;1.0;1.5;0.0
18h39m45s;48.35923;-4.55751;1034.1;12.7;;;;;;;67.20;9.6;3413108968000;13493;1.5;1.0;288.8;1.0;1.5;0.0
18h39m46s;48.35923;-4.55751;1033.9;12.7;;;;;;;67.75;10.6;3414192265000;14692;1.5;1.0;349.8;1.0;1.5;0.0
18h39m47s;48.35923;-4.55750;1034.0;12.7;;;;;;;66.10;11.7;3415233902000;9992;1.1;1.0;589.1;1.0;1.5;0.0
18h39m48s;48.35924;-4.55749;1034.1;12.7;;;;;;;66.65;12.7;3416275537000;9992;1.3;1.0;624.7;1.0;1.5;0.0
18h39m49s;48.35924;-4.55750;1034.2;12.7;;;;;;;68.85;13.8;3417317175000;15045;1.5;1.0;251.6;1.0;1.5;0.0
18h39m50s;48.35925;-4.55750;1034.8;12.7;;;;;;;68.30;14.8;3418358811000;41354;3.0;1.0;33.2;1.0;1.5;0.0
18h39m51s;48.35925;-4.55750;1034.2;12.7;;;;;;;67.75;15.9;3419400446000;41354;11.4;1.0;23.9;1.0;1.5;0.0
18h39m52s;48.35925;-4.55750;1034.9;12.7;;;;;;;67.75;16.9;3420442081000;41354;3.6;2.5;35.0;1.0;1.5;0.0
18h39m53s;48.35925;-4.55750;1037.8;12.5;;;;;;;67.20;17.9;3421483720000;41354;11.1;1.0;11.5;1.0;1.5;0.0
