Heure;Event;Fichier
18h39m35s;START MOTEUR; 
18h39m35s;START ENCODER;0020.h264
18h39m45s;START AWB ALGO; 
18h39m45s;END AWB ALGO; 
18h39m54s;START AWB ALGO; 
18h39m56s;END AWB ALGO; 
18h40m05s;START AWB ALGO; 
18h40m06s;END AWB ALGO; 
18h40m16s;START AWB ALGO; 
18h40m16s;END AWB ALGO; 
18h40m25s;START AWB ALGO; 
18h40m26s;END AWB ALGO; 
18h40m36s;START AWB ALGO; 
18h40m36s;END AWB ALGO; 
18h40m45s;START AWB ALGO; 
18h40m45s;END AWB ALGO; 
18h40m55s;START AWB ALGO; 
18h40m55s;END AWB ALGO; 
18h41m04s;START AWB ALGO; 
18h41m05s;END AWB ALGO; 
18h41m14s;START AWB ALGO; 
18h41m15s;END AWB ALGO; 
18h41m24s;START AWB ALGO; 
18h41m24s;END AWB ALGO; 
18h41m34s;START AWB ALGO; 
18h41m34s;END AWB ALGO; 
18h41m43s;START AWB ALGO; 
18h41m43s;END AWB ALGO; 
18h41m53s;START AWB ALGO; 
18h41m53s;END AWB ALGO; 
18h42m02s;START AWB ALGO; 
18h42m02s;END AWB ALGO; 
18h42m12s;START AWB ALGO; 
18h42m12s;END AWB ALGO; 
18h42m21s;START AWB ALGO; 
18h42m21s;END AWB ALGO; 
18h42m31s;START AWB ALGO; 
18h42m31s;END AWB ALGO; 
18h42m40s;START AWB ALGO; 
18h42m40s;END AWB ALGO; 
18h42m50s;START AWB ALGO; 
18h42m50s;END AWB ALGO; 
18h42m59s;START AWB ALGO; 
18h43m00s;END AWB ALGO; 
18h43m09s;START AWB ALGO; 
18h43m09s;END AWB ALGO; 
18h43m19s;START AWB ALGO; 
18h43m19s;END AWB ALGO; 
18h43m28s;START AWB ALGO; 
18h43m28s;END AWB ALGO; 
18h43m38s;START AWB ALGO; 
18h43m38s;END AWB ALGO; 
18h43m47s;START AWB ALGO; 
18h43m47s;END AWB ALGO; 
18h43m57s;START AWB ALGO; 
18h43m57s;END AWB ALGO; 
18h44m07s;START AWB ALGO; 
18h44m07s;END AWB ALGO; 
18h44m16s;START AWB ALGO; 
18h44m17s;END AWB ALGO; 
18h44m27s;START AWB ALGO; 
18h44m28s;END AWB ALGO; 
18h44m38s;START AWB ALGO; 
18h44m38s;END AWB ALGO; 
18h44m48s;START AWB ALGO; 
18h44m48s;END AWB ALGO; 
18h44m57s;START AWB ALGO; 
18h45m01s;END AWB ALGO; 
18h45m11s;START AWB ALGO; 
18h45m12s;END AWB ALGO; 
18h45m21s;START AWB ALGO; 
18h45m21s;END AWB ALGO; 
18h45m31s;START AWB ALGO; 
18h45m31s;END AWB ALGO; 
18h45m31s; SORTIE BOUTON
18h45m31s;END MOTEUR; 
18h45m32s;END ENCODER;0020.h264
18h45m32s;START CONVERSION;0020.h264
18h45m33s;END CONVERSION;0020.mp4
