HMS;Lat;Long;Pression;TempC;RLux;GLux;BLux;XMagneto;YMagneto;ZMagneto;TempCPU;Delta(s);TStamp;ExpTime;AnG;DiG;Lux;RedG;BlueG;Bright
17h02m42s;;;1030.8;13.0;;;;;;;54.00;0.0;2150017556000;41354;2.5;1.0;62.9;1.1;1.6;0.0
17h02m43s;;;1031.1;13.1;;;;;;;57.30;1.0;2151059189000;41354;2.5;1.0;62.1;1.1;1.6;0.0
17h02m44s;;;1031.1;13.1;;;;;;;57.30;2.1;2152100826000;41354;2.5;1.0;62.4;1.1;1.6;0.0
17h02m45s;;;1030.7;13.1;;;;;;;57.30;3.1;2153142459000;41354;2.5;1.0;62.1;1.1;1.6;0.0
17h02m46s;;;1030.9;13.1;;;;;;;58.95;4.2;2154184095000;41354;2.5;1.0;64.8;1.1;1.6;0.0
17h02m47s;;;1030.8;13.1;;;;;;;58.95;5.2;2155225731000;37967;2.0;1.0;75.5;1.1;1.6;0.0
17h02m48s;;;1030.6;13.1;;;;;;;57.85;6.3;2156267367000;41354;2.3;1.0;59.2;1.1;1.6;0.0
17h02m49s;;;1031.1;13.1;;;;;;;60.05;7.3;2157309001000;20649;1.5;1.0;298.1;1.1;1.6;0.0
17h02m50s;;;1030.7;13.1;;;;;;;59.50;8.4;2158350636000;8383;1.0;1.0;742.1;1.1;1.6;0.0
17h02m51s;;;1031.1;13.1;;;;;;;60.60;9.4;2159433938000;19943;1.5;1.0;177.9;1.1;1.6;0.0
17h02m51s;;;1030.8;13.1;;;;;;;60.05;9.6;2159600599000;22526;1.5;1.0;136.1;1.1;1.6;0.0
17h02m52s;;;1030.9;13.1;;;;;;;59.50;10.6;2160642234000;27424;1.5;1.0;165.2;1.1;1.6;0.0
17h02m54s;;;1031.2;13.1;;;;;;;59.50;11.7;2161683869000;26351;1.5;1.0;147.2;1.1;1.6;0.0
17h02m55s;;;1030.9;13.1;;;;;;;60.05;12.7;2162725503000;26351;1.5;1.0;150.4;1.1;1.6;0.0
17h02m56s;;;1031.1;13.1;;;;;;;60.60;13.7;2163767140000;26647;1.5;1.0;148.2;1.1;1.6;0.0
17h02m57s;;;1031.0;13.1;;;;;;;60.05;14.8;2164808774000;38814;2.0;1.0;92.2;1.1;1.6;0.0
17h02m58s;;;1045.2;13.1;;;;;;;61.15;15.8;2165850411000;41354;5.9;1.0;15.0;1.1;1.6;0.0
17h02m59s;;;1062.6;12.9;;;;;;;61.70;16.9;2166892044000;41354;15.5;1.0;13.2;1.1;1.6;0.0
17h03m00s;;;1063.9;12.7;;;;;;;61.70;17.9;2167933681000;41354;13.8;1.0;15.8;1.1;1.6;0.0
17h03m01s;;;1088.7;12.5;;;;;;;61.15;19.0;2168975316000;41354;11.6;1.0;17.9;1.1;1.6;0.0
17h03m03s;;;1131.4;12.2;;;;;;;60.05;20.9;2170891932000;41354;8.4;1.0;25.3;3.0;2.8;0.0
17h03m04s;;;1131.9;12.0;;;;;;;60.60;21.9;2171975225000;41354;7.9;1.0;25.8;3.0;2.8;0.0
17h03m05s;;;1141.7;11.9;;;;;;;62.25;23.0;2173016859000;41354;8.5;1.0;23.0;3.0;2.8;0.0
17h03m06s;;;1155.8;11.8;;;;;;;62.25;24.0;2174058493000;41354;9.9;1.0;19.7;3.0;2.8;0.0
17h03m07s;;;1158.7;11.7;;;;;;;62.80;25.1;2175100128000;41354;10.6;1.0;18.9;3.0;2.8;0.0
17h03m08s;;;1166.0;11.6;;;;;;;62.80;26.1;2176141764000;41354;10.4;1.0;19.8;3.0;2.8;0.0
17h03m09s;;;1176.8;11.5;;;;;;;61.70;27.2;2177183401000;41354;10.3;1.0;20.0;3.0;2.8;0.0
17h03m10s;;;1184.3;11.5;;;;;;;62.25;28.2;2178225033000;41354;10.3;1.0;19.1;3.0;2.8;0.0
17h03m11s;;;1189.4;11.4;;;;;;;62.25;29.3;2179266668000;41354;15.5;1.0;8.4;3.0;2.8;0.0
17h03m12s;;;1188.8;11.3;;;;;;;62.25;30.3;2180308303000;41354;15.5;1.0;10.6;3.0;2.8;0.0
17h03m12s;;;1188.5;11.4;;;;;;;62.25;30.4;2180474967000;41354;15.5;1.0;11.5;3.0;2.8;0.0
17h03m13s;;;1189.2;11.2;;;;;;;63.35;31.5;2181516600000;41354;15.5;1.0;10.8;3.0;2.8;0.0
17h03m14s;;;1188.7;11.2;;;;;;;62.25;32.5;2182558236000;41354;14.8;1.0;11.4;3.0;2.8;0.0
17h03m15s;;;1187.6;11.1;;;;;;;63.35;33.6;2183599870000;41354;12.6;1.0;13.5;3.0;2.8;0.0
17h03m16s;;;1189.9;11.1;;;;;;;62.25;34.6;2184641505000;41354;15.3;1.0;7.2;3.0;2.8;0.0
17h03m18s;;;1190.4;11.1;;;;;;;62.25;35.7;2185683142000;41354;15.8;1.0;8.1;3.0;2.8;0.0
17h03m19s;;;1190.1;11.0;;;;;;;62.25;36.7;2186724777000;41354;15.8;1.0;8.5;3.0;2.8;0.0
17h03m20s;;;1190.0;11.0;;;;;;;62.80;37.8;2187766412000;41354;15.8;1.0;8.7;3.0;2.8;0.0
17h03m21s;;;1190.1;10.9;;;;;;;62.80;38.8;2188808045000;41354;15.8;1.0;8.6;3.0;2.8;0.0
17h03m22s;;;1189.8;10.9;;;;;;;62.80;39.8;2189849682000;41354;15.8;1.0;8.3;3.0;2.8;0.0
17h03m23s;;;1190.0;10.9;;;;;;;63.35;40.9;2190891316000;41354;15.8;1.0;8.0;2.5;2.9;0.0
17h03m24s;;;1190.5;10.9;;;;;;;62.80;41.9;2191932952000;41354;15.8;1.0;8.1;2.5;2.9;0.0
17h03m25s;;;1189.6;10.9;;;;;;;63.35;43.0;2192974587000;41354;15.8;1.0;8.1;2.5;2.9;0.0
17h03m26s;;;1190.0;10.8;;;;;;;62.25;44.0;2194016222000;41354;15.8;1.0;8.0;2.5;2.9;0.0
17h03m27s;;;1189.9;10.8;;;;;;;62.25;45.1;2195057858000;41354;15.8;1.0;7.9;2.5;2.9;0.0
17h03m28s;;;1190.0;10.8;;;;;;;64.45;46.1;2196099493000;41354;15.8;1.0;8.0;2.5;2.9;0.0
17h03m29s;;;1190.1;10.8;;;;;;;62.80;47.1;2197141126000;41354;15.8;1.0;8.0;2.5;2.9;0.0
17h03m30s;;;1189.9;10.8;;;;;;;62.80;48.2;2198224426000;41354;15.8;1.0;7.8;2.5;2.9;0.0
17h03m31s;;;1190.3;10.7;;;;;;;62.80;49.2;2199266062000;41354;15.8;1.0;7.7;2.5;2.9;0.0
17h03m32s;;;1190.6;10.7;;;;;;;63.35;50.3;2200307696000;41354;15.8;1.0;8.2;2.5;2.9;0.0
17h03m32s;;;1190.2;10.8;;;;;;;64.45;50.4;2200474359000;41354;15.8;1.0;8.5;2.5;2.9;0.0
17h03m33s;;;1190.4;10.7;;;;;;;64.45;51.5;2201515992000;41354;15.8;1.0;10.1;2.5;2.9;0.0
17h03m34s;;;1190.0;10.7;;;;;;;63.90;52.5;2202557628000;41354;15.3;1.0;11.4;2.5;2.9;0.0
17h03m35s;;;1190.0;10.7;;;;;;;62.80;53.6;2203599263000;41354;13.7;1.0;12.4;2.5;2.9;0.0
17h03m36s;;;1189.8;10.7;;;;;;;64.45;54.6;2204640898000;41354;12.8;1.0;13.2;2.5;2.9;0.0
17h03m38s;;;1190.3;10.7;;;;;;;63.90;55.7;2205682535000;41354;12.0;1.0;14.2;2.5;2.9;0.0
17h03m39s;;;1190.1;10.7;;;;;;;65.00;56.7;2206724170000;41354;11.4;1.0;15.4;2.5;2.9;0.0
17h03m40s;;;1190.6;10.7;;;;;;;65.00;57.8;2207765805000;41354;10.7;1.0;16.9;2.5;2.9;0.0
17h03m41s;;;1190.1;10.7;;;;;;;63.35;58.8;2208807440000;41354;10.7;1.0;17.9;2.5;2.9;0.0
