Heure;Event;Fichier
17h02m42s;START ENCODER;0010.h264
17h02m42s;START MOTEUR; 
17h02m51s;START AWB ALGO; 
17h02m51s;END AWB ALGO; 
17h03m01s;START AWB ALGO; 
17h03m03s;END AWB ALGO; 
17h03m12s;START AWB ALGO; 
17h03m12s;END AWB ALGO; 
17h03m22s;START AWB ALGO; 
17h03m23s;END AWB ALGO; 
17h03m32s;START AWB ALGO; 
17h03m32s;END AWB ALGO; 
17h03m42s;START AWB ALGO; 
17h03m42s;END AWB ALGO; 
17h03m52s;START AWB ALGO; 
17h03m52s;END AWB ALGO; 
17h04m02s;START AWB ALGO; 
17h04m02s;END AWB ALGO; 
17h04m11s;START AWB ALGO; 
17h04m11s;END AWB ALGO; 
17h04m21s;START AWB ALGO; 
17h04m23s;END AWB ALGO; 
17h04m32s;START AWB ALGO; 
17h04m32s;END AWB ALGO; 
17h04m42s;START AWB ALGO; 
17h04m42s;END AWB ALGO; 
17h04m51s;START AWB ALGO; 
17h04m51s;END AWB ALGO; 
17h05m01s;START AWB ALGO; 
17h05m01s;END AWB ALGO; 
17h05m10s;START AWB ALGO; 
17h05m10s;END AWB ALGO; 
17h05m20s;START AWB ALGO; 
17h05m20s;END AWB ALGO; 
17h05m29s;START AWB ALGO; 
17h05m29s;END AWB ALGO; 
17h05m39s;START AWB ALGO; 
17h05m40s;END AWB ALGO; 
17h05m50s;START AWB ALGO; 
17h05m50s;END AWB ALGO; 
17h05m59s;START AWB ALGO; 
17h05m59s;END AWB ALGO; 
17h06m09s;START AWB ALGO; 
17h06m09s;END AWB ALGO; 
17h06m18s;START AWB ALGO; 
17h06m18s;END AWB ALGO; 
17h06m25s; SORTIE BOUTON
17h06m26s;END MOTEUR; 
17h06m26s;END ENCODER;0010.h264
17h06m26s;START CONVERSION;0010.h264
17h06m26s;END CONVERSION;0010.mp4
