Heure;Event;Fichier
18h30m23s;START ENCODER;0019.h264
18h30m23s;START MOTEUR; 
18h30m32s;START AWB ALGO; 
18h30m32s;END AWB ALGO; 
18h30m42s;START AWB ALGO; 
18h30m43s;END AWB ALGO; 
18h30m53s;START AWB ALGO; 
18h30m54s;END AWB ALGO; 
18h31m04s;START AWB ALGO; 
18h31m04s;END AWB ALGO; 
18h31m13s;START AWB ALGO; 
18h31m13s;END AWB ALGO; 
18h31m23s;START AWB ALGO; 
18h31m23s;END AWB ALGO; 
18h31m32s;START AWB ALGO; 
18h31m32s;END AWB ALGO; 
18h31m42s;START AWB ALGO; 
18h31m42s;END AWB ALGO; 
18h31m51s;START AWB ALGO; 
18h31m51s;END AWB ALGO; 
18h32m01s;START AWB ALGO; 
18h32m01s;END AWB ALGO; 
18h32m10s;START AWB ALGO; 
18h32m11s;END AWB ALGO; 
18h32m20s;START AWB ALGO; 
18h32m20s;END AWB ALGO; 
18h32m30s;START AWB ALGO; 
18h32m30s;END AWB ALGO; 
18h32m40s;START AWB ALGO; 
18h32m40s;END AWB ALGO; 
18h32m50s;START AWB ALGO; 
18h32m50s;END AWB ALGO; 
18h32m59s;START AWB ALGO; 
18h32m59s;END AWB ALGO; 
18h33m09s;START AWB ALGO; 
18h33m09s;END AWB ALGO; 
18h33m18s;START AWB ALGO; 
18h33m18s;END AWB ALGO; 
18h33m28s;START AWB ALGO; 
18h33m28s;END AWB ALGO; 
18h33m37s;START AWB ALGO; 
18h33m37s;END AWB ALGO; 
18h33m47s;START AWB ALGO; 
18h33m47s;END AWB ALGO; 
18h33m56s;START AWB ALGO; 
18h33m56s;END AWB ALGO; 
18h34m06s;START AWB ALGO; 
18h34m06s;END AWB ALGO; 
18h34m15s;START AWB ALGO; 
18h34m16s;END AWB ALGO; 
18h34m25s;START AWB ALGO; 
18h34m25s;END AWB ALGO; 
18h34m35s;START AWB ALGO; 
18h34m35s;END AWB ALGO; 
18h34m45s;START AWB ALGO; 
18h34m46s;END AWB ALGO; 
18h34m55s;START AWB ALGO; 
18h34m56s;END AWB ALGO; 
18h35m05s;START AWB ALGO; 
18h35m06s;END AWB ALGO; 
18h35m15s;START AWB ALGO; 
18h35m15s;END AWB ALGO; 
18h35m25s;START AWB ALGO; 
18h35m25s;END AWB ALGO; 
18h35m34s;START AWB ALGO; 
18h35m35s;END AWB ALGO; 
18h35m39s; SORTIE BOUTON
18h35m39s;END ENCODER;0019.h264
18h35m39s;START CONVERSION;0019.h264
18h35m39s;END MOTEUR; 
18h35m40s;END CONVERSION;0019.mp4
