HMS;Lat;Long;Pression;TempC;RLux;GLux;BLux;XMagneto;YMagneto;ZMagneto;TempCPU;Delta(s);TStamp;ExpTime;AnG;DiG;Lux;RedG;BlueG;Bright
18h30m23s;48.35933;-4.55778;1035.3;12.5;;;;;;;68.30;0.0;2851208735000;32900;2.0;1.0;84.1;1.0;1.5;0.0
18h30m24s;48.35933;-4.55778;1035.0;12.6;;;;;;;70.50;1.0;2852250371000;32900;2.0;1.0;81.9;1.0;1.5;0.0
18h30m25s;48.35933;-4.55779;1034.6;12.6;;;;;;;71.05;2.1;2853292007000;33196;2.0;1.0;81.8;1.0;1.5;0.0
18h30m26s;48.35933;-4.55779;1035.2;12.6;;;;;;;72.70;3.1;2854375310000;33196;2.0;1.0;81.8;1.0;1.5;0.0
18h30m27s;48.35933;-4.55779;1034.7;12.6;;;;;;;73.25;4.2;2855416947000;33196;2.0;1.0;81.9;1.0;1.5;0.0
18h30m28s;48.35933;-4.55779;1035.0;12.6;;;;;;;72.70;5.2;2856458584000;33196;2.0;1.0;82.8;1.0;1.5;0.0
18h30m29s;48.35932;-4.55779;1035.0;12.6;;;;;;;72.70;6.3;2857500229000;31150;2.0;1.0;89.9;1.0;1.5;0.0
18h30m30s;48.35933;-4.55780;1035.0;12.6;;;;;;;72.15;7.3;2858541858000;29992;2.0;1.0;91.5;1.0;1.5;0.0
18h30m31s;48.35933;-4.55780;1035.0;12.7;;;;;;;72.70;8.4;2859583495000;33112;2.0;1.0;74.4;1.0;1.5;0.0
18h30m32s;48.35933;-4.55781;1035.2;12.7;;;;;;;74.35;9.4;2860625132000;29992;1.9;1.0;96.6;1.0;1.5;0.0
18h30m32s;48.35933;-4.55781;1034.9;12.7;;;;;;;73.80;9.5;2860791795000;29992;1.9;1.0;96.9;1.0;1.5;0.0
18h30m33s;48.35933;-4.55781;1035.0;12.7;;;;;;;72.15;10.6;2861833430000;29992;1.9;1.0;95.3;1.0;1.5;0.0
18h30m34s;48.35933;-4.55782;1035.4;12.7;;;;;;;74.35;11.7;2862875065000;29992;1.8;1.0;109.8;1.0;1.5;0.0
18h30m35s;48.35934;-4.55782;1035.0;12.7;;;;;;;73.25;12.7;2863916697000;8863;1.0;1.0;1051.3;1.0;1.5;0.0
18h30m37s;48.35934;-4.55783;1034.7;12.7;;;;;;;73.80;13.7;2864958341000;12801;1.5;1.0;431.7;1.0;1.5;0.0
18h30m38s;48.35934;-4.55783;1034.8;12.7;;;;;;;74.35;14.8;2865999977000;9992;1.2;1.0;495.0;1.0;1.5;0.0
18h30m39s;48.35934;-4.55783;1034.9;12.7;;;;;;;73.80;15.8;2867041613000;11743;1.5;1.0;322.2;1.0;1.5;0.0
18h30m40s;48.35934;-4.55783;1034.9;12.7;;;;;;;73.80;16.9;2868083250000;12279;1.5;1.0;317.2;1.0;1.5;0.0
18h30m41s;48.35934;-4.55783;1035.2;12.8;;;;;;;74.90;17.9;2869124887000;24996;1.5;1.0;170.7;1.0;1.5;0.0
18h30m42s;48.35934;-4.55783;1035.4;12.8;;;;;;;76.55;19.0;2870166525000;24700;1.5;1.0;153.1;1.0;1.5;0.0
18h30m43s;48.35934;-4.55782;1035.4;12.7;;;;;;;76.00;20.5;2871708148000;41354;2.9;2.5;34.3;2.4;2.6;0.0
18h30m44s;48.35934;-4.55782;1037.1;12.5;;;;;;;76.55;21.5;2872749783000;41354;3.2;2.5;23.2;2.4;2.6;0.0
18h30m45s;48.35934;-4.55781;1042.3;12.4;;;;;;;76.55;22.6;2873791420000;41354;13.0;1.0;20.7;2.4;2.6;0.0
18h30m46s;48.35934;-4.55780;1076.1;12.3;;;;;;;74.90;23.6;2874833058000;41354;15.3;1.0;20.3;2.4;2.6;0.0
18h30m47s;48.35934;-4.55780;1101.7;12.1;;;;;;;76.55;24.7;2875874694000;41354;15.5;1.0;19.5;2.4;2.6;0.0
18h30m49s;48.35934;-4.55780;1105.0;11.9;;;;;;;74.90;25.7;2876916331000;41354;14.8;1.0;19.6;2.4;2.6;0.0
18h30m50s;48.35935;-4.55781;1110.3;11.8;;;;;;;75.45;26.7;2877957968000;41354;15.3;1.0;19.5;2.4;2.6;0.0
18h30m51s;48.35936;-4.55781;1112.0;11.7;;;;;;;76.00;27.8;2878999606000;41354;15.5;1.0;19.4;2.4;2.6;0.0
18h30m52s;;;1113.7;11.6;;;;;;;76.00;28.8;2880041241000;41354;15.5;1.0;19.4;2.4;2.6;0.0
18h30m53s;;;1129.5;11.5;;;;;;;74.90;29.9;2881082879000;41354;11.9;1.0;21.5;2.4;2.6;0.0
18h30m54s;;;1141.1;11.4;;;;;;;77.65;31.4;2882582835000;41354;8.4;1.0;25.5;3.2;2.9;0.0
18h30m55s;;;1149.3;11.3;;;;;;;76.55;32.4;2883624475000;41354;6.3;1.0;30.3;3.2;2.9;0.0
18h30m56s;;;1159.7;11.2;;;;;;;76.00;33.5;2884666113000;41354;5.8;1.0;32.6;3.2;2.9;0.0
18h30m57s;;;1175.0;11.1;;;;;;;77.10;34.5;2885707748000;41354;5.9;1.0;30.7;3.2;2.9;0.0
18h30m58s;;;1183.4;11.1;;;;;;;75.45;35.5;2886749385000;41354;6.1;1.0;29.8;3.2;2.9;0.0
18h30m59s;;;1191.7;11.0;;;;;;;76.00;36.6;2887791021000;41354;8.4;1.0;17.1;3.2;2.9;0.0
18h31m00s;;;1191.1;11.0;;;;;;;76.55;37.6;2888832658000;41354;9.2;1.0;20.2;3.2;2.9;0.0
18h31m01s;;;1190.4;10.9;;;;;;;77.10;38.7;2889915962000;41354;7.9;1.0;21.1;3.2;2.9;0.0
18h31m03s;;;1190.4;10.9;;;;;;;77.10;39.7;2890957600000;41354;7.1;1.0;23.2;3.2;2.9;0.0
18h31m04s;;;1191.3;10.8;;;;;;;76.55;40.8;2891999236000;41354;6.4;1.0;23.2;3.2;2.9;0.0
