Heure;Event;Fichier
14h47m37s;START ENCODER;0044.h264
14h47m47s;START AWB ALGO; 
14h47m48s;END AWB ALGO; 
14h47m57s;START AWB ALGO; 
14h47m58s;END AWB ALGO; 
14h48m07s;START AWB ALGO; 
14h48m07s;END AWB ALGO; 
14h48m17s;START AWB ALGO; 
14h48m17s;END AWB ALGO; 
14h48m27s;START AWB ALGO; 
14h48m32s;END AWB ALGO; 
14h48m41s;START AWB ALGO; 
14h48m46s;END AWB ALGO; 
14h48m56s;START AWB ALGO; 
14h49m00s;END AWB ALGO; 
14h49m10s;START AWB ALGO; 
14h49m10s;END AWB ALGO; 
14h49m20s;START AWB ALGO; 
14h49m20s;END AWB ALGO; 
14h49m30s;START AWB ALGO; 
14h49m30s;END AWB ALGO; 
14h49m39s;START AWB ALGO; 
14h49m39s;END AWB ALGO; 
14h49m49s;START AWB ALGO; 
14h49m49s;END AWB ALGO; 
14h49m58s;START AWB ALGO; 
14h49m58s;END AWB ALGO; 
14h50m08s;START AWB ALGO; 
14h50m08s;END AWB ALGO; 
14h50m17s;START AWB ALGO; 
14h50m17s;END AWB ALGO; 
14h50m27s;START AWB ALGO; 
14h50m27s;END AWB ALGO; 
14h50m36s;START AWB ALGO; 
14h50m37s;END AWB ALGO; 
14h50m46s;START AWB ALGO; 
14h50m46s;END AWB ALGO; 
14h50m56s;START AWB ALGO; 
14h50m56s;END AWB ALGO; 
14h51m05s;START AWB ALGO; 
14h51m05s;END AWB ALGO; 
14h51m15s;START AWB ALGO; 
14h51m15s;END AWB ALGO; 
14h51m24s;START AWB ALGO; 
14h51m24s;END AWB ALGO; 
14h51m34s;START AWB ALGO; 
14h51m34s;END AWB ALGO; 
14h51m43s;START AWB ALGO; 
14h51m44s;END AWB ALGO; 
14h51m53s;START AWB ALGO; 
14h51m53s;END AWB ALGO; 
14h52m03s;START AWB ALGO; 
14h52m03s;END AWB ALGO; 
14h52m12s;START AWB ALGO; 
14h52m12s;END AWB ALGO; 
14h52m22s;START AWB ALGO; 
14h52m22s;END AWB ALGO; 
14h52m31s;START AWB ALGO; 
14h52m31s;END AWB ALGO; 
14h52m41s;START AWB ALGO; 
14h52m41s;END AWB ALGO; 
14h52m50s;START AWB ALGO; 
14h52m51s;END AWB ALGO; 
14h53m00s;START AWB ALGO; 
14h53m00s;END AWB ALGO; 
14h53m10s;START AWB ALGO; 
14h53m10s;END AWB ALGO; 
14h53m19s;START AWB ALGO; 
14h53m19s;END AWB ALGO; 
14h53m29s;START AWB ALGO; 
14h53m29s;END AWB ALGO; 
14h53m38s;START AWB ALGO; 
14h53m38s;END AWB ALGO; 
14h53m48s;START AWB ALGO; 
14h53m48s;END AWB ALGO; 
14h53m57s;START AWB ALGO; 
14h53m58s;END AWB ALGO; 
14h54m07s;START AWB ALGO; 
14h54m07s;END AWB ALGO; 
14h54m17s;START AWB ALGO; 
14h54m17s;END AWB ALGO; 
14h54m26s;START AWB ALGO; 
14h54m26s;END AWB ALGO; 
14h54m36s;START AWB ALGO; 
14h54m36s;END AWB ALGO; 
14h54m46s;START AWB ALGO; 
14h54m46s;END AWB ALGO; 
14h54m55s;START AWB ALGO; 
14h54m55s;END AWB ALGO; 
14h55m05s;START AWB ALGO; 
14h55m05s;END AWB ALGO; 
14h55m14s;START AWB ALGO; 
14h55m14s;END AWB ALGO; 
14h55m24s;START AWB ALGO; 
14h55m24s;END AWB ALGO; 
14h55m33s;START AWB ALGO; 
14h55m34s;END AWB ALGO; 
14h55m43s;START AWB ALGO; 
14h55m43s;END AWB ALGO; 
14h55m53s;START AWB ALGO; 
14h55m53s;END AWB ALGO; 
14h56m02s;START AWB ALGO; 
14h56m02s;END AWB ALGO; 
14h56m12s;START AWB ALGO; 
14h56m12s;END AWB ALGO; 
14h56m21s;START AWB ALGO; 
14h56m21s;END AWB ALGO; 
14h56m31s;START AWB ALGO; 
14h56m31s;END AWB ALGO; 
14h56m41s;START AWB ALGO; 
14h56m41s;END AWB ALGO; 
14h56m50s;START AWB ALGO; 
14h56m50s;END AWB ALGO; 
14h57m00s;START AWB ALGO; 
14h57m00s;END AWB ALGO; 
14h57m09s;START AWB ALGO; 
14h57m09s;END AWB ALGO; 
14h57m19s;START AWB ALGO; 
14h57m19s;END AWB ALGO; 
14h57m28s;START AWB ALGO; 
14h57m29s;END AWB ALGO; 
14h57m38s;START AWB ALGO; 
14h57m38s;END AWB ALGO; 
14h57m48s;START AWB ALGO; 
14h57m48s;END AWB ALGO; 
14h57m57s;START AWB ALGO; 
14h57m57s;END AWB ALGO; 
14h58m07s;START AWB ALGO; 
14h58m07s;END AWB ALGO; 
14h58m16s;START AWB ALGO; 
14h58m17s;END AWB ALGO; 
14h58m26s;START AWB ALGO; 
14h58m26s;END AWB ALGO; 
14h58m36s;START AWB ALGO; 
14h58m36s;END AWB ALGO; 
14h58m45s;START AWB ALGO; 
14h58m45s;END AWB ALGO; 
14h58m55s;START AWB ALGO; 
14h58m55s;END AWB ALGO; 
14h59m04s;START AWB ALGO; 
14h59m04s;END AWB ALGO; 
14h59m14s;START AWB ALGO; 
14h59m14s;END AWB ALGO; 
14h59m24s;START AWB ALGO; 
14h59m24s;END AWB ALGO; 
14h59m33s;START AWB ALGO; 
14h59m33s;END AWB ALGO; 
14h59m43s;START AWB ALGO; 
14h59m43s;END AWB ALGO; 
14h59m52s;START AWB ALGO; 
14h59m52s;END AWB ALGO; 
15h00m02s;START AWB ALGO; 
15h00m02s;END AWB ALGO; 
15h00m11s;START AWB ALGO; 
15h00m12s;END AWB ALGO; 
15h00m21s;START AWB ALGO; 
15h00m21s;END AWB ALGO; 
15h00m31s;START AWB ALGO; 
15h00m31s;END AWB ALGO; 
15h00m40s;START AWB ALGO; 
15h00m40s;END AWB ALGO; 
15h00m50s;START AWB ALGO; 
15h00m50s;END AWB ALGO; 
15h00m59s;START AWB ALGO; 
15h01m00s;END AWB ALGO; 
15h01m09s;START AWB ALGO; 
15h01m09s;END AWB ALGO; 
15h01m19s;START AWB ALGO; 
15h01m19s;END AWB ALGO; 
15h01m28s;START AWB ALGO; 
15h01m28s;END AWB ALGO; 
15h01m38s;START AWB ALGO; 
15h01m38s;END AWB ALGO; 
15h01m47s;START AWB ALGO; 
15h01m47s;END AWB ALGO; 
15h01m57s;START AWB ALGO; 
15h01m57s;END AWB ALGO; 
15h02m07s;START AWB ALGO; 
15h02m07s;END AWB ALGO; 
15h02m16s;START AWB ALGO; 
15h02m16s;END AWB ALGO; 
15h02m26s;START AWB ALGO; 
15h02m26s;END AWB ALGO; 
15h02m35s;START AWB ALGO; 
15h02m35s;END AWB ALGO; 
15h02m45s;START AWB ALGO; 
15h02m45s;END AWB ALGO; 
15h02m55s;START AWB ALGO; 
15h02m55s;END AWB ALGO; 
15h03m04s;START AWB ALGO; 
15h03m04s;END AWB ALGO; 
15h03m14s;START AWB ALGO; 
15h03m14s;END AWB ALGO; 
15h03m23s;START AWB ALGO; 
15h03m23s;END AWB ALGO; 
15h03m33s;START AWB ALGO; 
15h03m34s;END AWB ALGO; 
15h03m44s;START AWB ALGO; 
15h03m45s;END AWB ALGO; 
15h03m55s;START AWB ALGO; 
15h03m55s;END AWB ALGO; 
15h04m04s;START AWB ALGO; 
15h04m05s;END AWB ALGO; 
15h04m14s;START AWB ALGO; 
15h04m14s;END AWB ALGO; 
15h04m24s;START AWB ALGO; 
15h04m24s;END AWB ALGO; 
15h04m33s;START AWB ALGO; 
15h04m33s;END AWB ALGO; 
15h04m43s;START AWB ALGO; 
15h04m43s;END AWB ALGO; 
15h04m52s;START AWB ALGO; 
15h04m53s;END AWB ALGO; 
15h05m02s;START AWB ALGO; 
15h05m02s;END AWB ALGO; 
15h05m12s;START AWB ALGO; 
15h05m12s;END AWB ALGO; 
15h05m22s;START AWB ALGO; 
15h05m22s;END AWB ALGO; 
15h05m31s;START AWB ALGO; 
15h05m31s;END AWB ALGO; 
15h05m41s;START AWB ALGO; 
15h05m41s;END AWB ALGO; 
15h05m51s;START AWB ALGO; 
15h05m51s;END AWB ALGO; 
15h06m00s;START AWB ALGO; 
15h06m00s;END AWB ALGO; 
15h06m10s;START AWB ALGO; 
15h06m10s;END AWB ALGO; 
15h06m19s;START AWB ALGO; 
15h06m20s;END AWB ALGO; 
15h06m29s;START AWB ALGO; 
15h06m29s;END AWB ALGO; 
15h06m39s;START AWB ALGO; 
15h06m39s;END AWB ALGO; 
15h06m48s;START AWB ALGO; 
15h06m48s;END AWB ALGO; 
15h06m58s;START AWB ALGO; 
15h06m58s;END AWB ALGO; 
15h07m07s;START AWB ALGO; 
15h07m08s;END AWB ALGO; 
15h07m17s;START AWB ALGO; 
15h07m17s;END AWB ALGO; 
15h07m27s;START AWB ALGO; 
15h07m27s;END AWB ALGO; 
15h07m36s;START AWB ALGO; 
15h07m36s;END AWB ALGO; 
15h07m46s;START AWB ALGO; 
15h07m46s;END AWB ALGO; 
15h07m55s;START AWB ALGO; 
15h07m55s;END AWB ALGO; 
15h08m05s;START AWB ALGO; 
15h08m05s;END AWB ALGO; 
15h08m15s;START AWB ALGO; 
15h08m15s;END AWB ALGO; 
15h08m25s;START AWB ALGO; 
15h08m25s;END AWB ALGO; 
15h08m34s;START AWB ALGO; 
15h08m34s;END AWB ALGO; 
15h08m44s;START AWB ALGO; 
15h08m44s;END AWB ALGO; 
15h08m53s;START AWB ALGO; 
15h08m53s;END AWB ALGO; 
15h09m03s;START AWB ALGO; 
15h09m03s;END AWB ALGO; 
15h09m13s;START AWB ALGO; 
15h09m13s;END AWB ALGO; 
15h09m22s;START AWB ALGO; 
15h09m22s;END AWB ALGO; 
15h09m32s;START AWB ALGO; 
15h09m32s;END AWB ALGO; 
15h09m41s;START AWB ALGO; 
15h09m41s;END AWB ALGO; 
15h09m51s;START AWB ALGO; 
15h09m51s;END AWB ALGO; 
15h10m00s;START AWB ALGO; 
15h10m01s;END AWB ALGO; 
15h10m10s;START AWB ALGO; 
15h10m10s;END AWB ALGO; 
15h10m20s;START AWB ALGO; 
15h10m20s;END AWB ALGO; 
15h10m29s;START AWB ALGO; 
15h10m30s;END AWB ALGO; 
15h10m39s;START AWB ALGO; 
15h10m39s;END AWB ALGO; 
15h10m49s;START AWB ALGO; 
15h10m49s;END AWB ALGO; 
15h10m58s;START AWB ALGO; 
15h10m58s;END AWB ALGO; 
15h11m08s;START AWB ALGO; 
15h11m08s;END AWB ALGO; 
15h11m17s;START AWB ALGO; 
15h11m18s;END AWB ALGO; 
15h11m27s;START AWB ALGO; 
15h11m27s;END AWB ALGO; 
15h11m37s;START AWB ALGO; 
15h11m37s;END AWB ALGO; 
15h11m46s;START AWB ALGO; 
15h11m46s;END AWB ALGO; 
15h11m56s;START AWB ALGO; 
15h11m56s;END AWB ALGO; 
15h12m05s;START AWB ALGO; 
15h12m06s;END AWB ALGO; 
15h12m15s;START AWB ALGO; 
15h12m15s;END AWB ALGO; 
15h12m25s;START AWB ALGO; 
15h12m25s;END AWB ALGO; 
15h12m34s;START AWB ALGO; 
15h12m34s;END AWB ALGO; 
15h12m44s;START AWB ALGO; 
15h12m44s;END AWB ALGO; 
15h12m54s;START AWB ALGO; 
15h12m54s;END AWB ALGO; 
15h13m03s;START AWB ALGO; 
15h13m03s;END AWB ALGO; 
15h13m13s;START AWB ALGO; 
15h13m13s;END AWB ALGO; 
15h13m22s;START AWB ALGO; 
15h13m22s;END AWB ALGO; 
15h13m32s;START AWB ALGO; 
15h13m32s;END AWB ALGO; 
15h13m42s;START AWB ALGO; 
15h13m42s;END AWB ALGO; 
15h13m51s;START AWB ALGO; 
15h13m51s;END AWB ALGO; 
15h14m01s;START AWB ALGO; 
15h14m01s;END AWB ALGO; 
15h14m11s;START AWB ALGO; 
15h14m11s;END AWB ALGO; 
15h14m20s;START AWB ALGO; 
15h14m20s;END AWB ALGO; 
15h14m30s;START AWB ALGO; 
15h14m30s;END AWB ALGO; 
15h14m39s;START AWB ALGO; 
15h14m39s;END AWB ALGO; 
15h14m49s;START AWB ALGO; 
15h14m49s;END AWB ALGO; 
15h14m59s;START AWB ALGO; 
15h14m59s;END AWB ALGO; 
15h15m09s;START AWB ALGO; 
15h15m09s;END AWB ALGO; 
15h15m18s;START AWB ALGO; 
15h15m18s;END AWB ALGO; 
15h15m28s;START AWB ALGO; 
15h15m28s;END AWB ALGO; 
15h15m37s;START AWB ALGO; 
15h15m37s;END AWB ALGO; 
15h15m47s;START AWB ALGO; 
15h15m47s;END AWB ALGO; 
15h15m57s;START AWB ALGO; 
15h15m57s;END AWB ALGO; 
15h16m06s;START AWB ALGO; 
15h16m06s;END AWB ALGO; 
15h16m16s;START AWB ALGO; 
15h16m16s;END AWB ALGO; 
15h16m25s;START AWB ALGO; 
15h16m25s;END AWB ALGO; 
15h16m35s;START AWB ALGO; 
15h16m35s;END AWB ALGO; 
15h16m45s;START AWB ALGO; 
15h16m45s;END AWB ALGO; 
15h16m54s;START AWB ALGO; 
15h16m54s;END AWB ALGO; 
15h17m04s;START AWB ALGO; 
15h17m04s;END AWB ALGO; 
15h17m13s;START AWB ALGO; 
15h17m13s;END AWB ALGO; 
15h17m23s;START AWB ALGO; 
15h17m23s;END AWB ALGO; 
15h17m32s;START AWB ALGO; 
15h17m33s;END AWB ALGO; 
15h17m42s;START AWB ALGO; 
15h17m47s;END AWB ALGO; 
15h17m57s;START AWB ALGO; 
15h17m58s;END AWB ALGO; 
15h18m05s; SORTIE BOUTON
15h18m06s;END ENCODER;0044.h264
15h18m06s;START CONVERSION;0044.h264
15h19m49s;END CONVERSION;0044.mp4
