HMS;Lat;Long;Pression;TempC;RLux;GLux;BLux;XMagneto;YMagneto;ZMagneto;TempCPU;Delta(s);TStamp;ExpTime;AnG;DiG;Lux;RedG;BlueG;Bright;TStamp2;ExpTime2;AnG2;DiG2;Lux2;RedG2;BlueG2;Bright2
14h47m37s;;;1004.9;19.6;733;924;509;;;;41.35;0.0;171653930000;2695;1.0;1.0;1373.8;1.0;1.7;0.0;171673487000;2073;1.0;1.0;1386.8;1.0;1.7;0.0
14h47m39s;;;1004.7;19.7;745;930;516;;;;45.20;1.1;172695425000;2740;1.0;1.0;1358.3;1.0;1.7;0.0;172714972000;2043;1.0;1.0;1380.6;1.0;1.7;0.0
14h47m40s;;;1004.7;19.7;732;913;505;;;;45.75;2.1;173778577000;2636;1.0;1.0;1379.4;1.0;1.7;0.0;173756454000;2043;1.0;1.0;1375.7;1.0;1.7;0.0
14h47m41s;;;1004.5;19.7;738;880;516;;;;46.85;3.2;174820068000;2784;1.0;1.0;1454.3;1.0;1.7;0.0;174797941000;2029;1.0;1.0;1307.0;1.0;1.7;0.0
14h47m42s;;;1004.5;19.7;567;706;390;;;;46.85;4.2;175861559000;2014;1.0;1.0;1598.0;1.0;1.7;0.0;175881082000;4636;1.0;1.0;1119.9;1.0;1.7;0.0
14h47m43s;;;1004.4;19.7;589;707;418;;;;47.95;5.3;176903053000;2117;1.0;1.0;1574.3;1.0;1.7;0.0;176922562000;4547;1.0;1.0;1313.0;1.0;1.7;0.0
14h47m44s;;;1004.2;19.7;632;797;441;;;;47.95;6.3;177944545000;2073;1.0;1.0;1575.5;1.0;1.7;0.0;177964049000;3717;1.0;1.0;1406.7;1.0;1.7;0.0
14h47m45s;;;1004.9;19.7;614;767;424;;;;48.50;7.4;178986039000;2325;1.0;1.0;1396.3;1.0;1.7;0.0;179005529000;4295;1.0;1.0;1278.5;1.0;1.7;0.0
14h47m46s;;;1004.5;19.7;616;769;421;;;;49.05;8.4;180069190000;2310;1.0;1.0;1439.0;1.0;1.7;0.0;180047017000;4384;1.0;1.0;1327.8;1.0;1.7;0.0
14h47m47s;;;1004.4;19.7;662;839;468;;;;49.60;9.5;181110683000;2488;1.0;1.0;1398.4;1.0;1.7;0.0;181130158000;3836;1.0;1.0;1363.3;1.0;1.7;0.0
