Heure;Event;Fichier
16h06m24s;START ENCODER;0047.h264
16h06m34s;START AWB ALGO; 
16h06m35s;END AWB ALGO; 
16h06m44s;START AWB ALGO; 
16h06m49s;END AWB ALGO; 
16h06m59s;START AWB ALGO; 
16h07m04s;END AWB ALGO; 
16h07m13s;START AWB ALGO; 
16h07m18s;END AWB ALGO; 
16h07m28s;START AWB ALGO; 
16h07m33s;END AWB ALGO; 
16h07m42s;START AWB ALGO; 
16h07m48s;END AWB ALGO; 
16h07m57s;START AWB ALGO; 
16h08m02s;END AWB ALGO; 
16h08m12s;START AWB ALGO; 
16h08m17s;END AWB ALGO; 
16h08m26s;START AWB ALGO; 
16h08m26s;END AWB ALGO; 
16h08m36s;START AWB ALGO; 
16h08m37s;END AWB ALGO; 
16h08m46s;START AWB ALGO; 
16h08m48s;END AWB ALGO; 
16h08m57s;START AWB ALGO; 
16h08m57s;END AWB ALGO; 
16h09m07s;START AWB ALGO; 
16h09m07s;END AWB ALGO; 
16h09m17s;START AWB ALGO; 
16h09m17s;END AWB ALGO; 
16h09m26s;START AWB ALGO; 
16h09m26s;END AWB ALGO; 
16h09m36s;START AWB ALGO; 
16h09m36s;END AWB ALGO; 
16h09m37s; SORTIE BOUTON
16h09m37s;END ENCODER;0047.h264
16h09m37s;START CONVERSION;0047.h264
16h09m39s;END CONVERSION;0047.mp4
