HMS;Lat;Long;Pression;TempC;RLux;GLux;BLux;XMagneto;YMagneto;ZMagneto;TempCPU;Delta(s);TStamp;ExpTime;AnG;DiG;Lux;RedG;BlueG;Bright
18h05m04s;48.35914;-4.55735;1038.0;11.8;;;;;;;71.60;0.0;1332464675000;20324;1.5;1.0;230.4;1.1;1.3;0.0
18h05m05s;48.35914;-4.55735;1037.5;11.8;;;;;;;73.25;1.1;1333506313000;24968;1.5;1.0;97.8;1.1;1.3;0.0
18h05m06s;48.35914;-4.55736;1037.4;11.8;;;;;;;73.25;2.1;1334547950000;41354;2.3;1.0;61.7;1.1;1.3;0.0
18h05m07s;48.35915;-4.55735;1037.5;11.9;;;;;;;73.25;3.2;1335589586000;29992;1.9;1.0;163.8;1.1;1.3;0.0
18h05m08s;48.35915;-4.55734;1037.3;11.9;;;;;;;76.00;4.2;1336631222000;28016;1.5;1.0;107.3;1.1;1.3;0.0
18h05m09s;48.35916;-4.55733;1037.8;11.9;;;;;;;74.35;5.3;1337714523000;41354;2.2;1.0;63.1;1.1;1.3;0.0
18h05m10s;48.35916;-4.55733;1037.8;11.9;;;;;;;75.45;6.3;1338756159000;29992;1.9;1.0;174.9;1.1;1.3;0.0
18h05m11s;48.35917;-4.55733;1037.7;11.9;;;;;;;74.35;7.3;1339797797000;20649;1.5;1.0;225.3;1.1;1.3;0.0
18h05m12s;48.35917;-4.55734;1037.8;11.9;;;;;;;74.35;8.4;1340839434000;29992;1.9;1.0;190.5;1.1;1.3;0.0
18h05m13s;48.35917;-4.55734;1037.1;11.9;;;;;;;76.00;9.4;1341881071000;15102;1.5;1.0;291.5;1.1;1.3;0.0
18h05m14s;48.35918;-4.55734;1037.3;11.9;;;;;;;74.90;10.0;1342464386000;20155;1.5;1.0;222.2;1.0;1.5;0.0
18h05m15s;48.35918;-4.55735;1037.7;11.9;;;;;;;76.00;11.1;1343506028000;18532;1.5;1.0;214.6;1.0;1.5;0.0
18h05m16s;48.35918;-4.55735;1037.5;11.9;;;;;;;75.45;12.1;1344547661000;19477;1.5;1.0;206.7;1.0;1.5;0.0
18h05m17s;48.35918;-4.55735;1037.6;11.9;;;;;;;76.55;13.2;1345589297000;26111;1.5;1.0;218.9;1.0;1.5;0.0
18h05m18s;48.35918;-4.55736;1037.0;12.0;;;;;;;74.90;14.2;1346630933000;19294;1.5;1.0;245.9;1.0;1.5;0.0
18h05m19s;48.35917;-4.55735;1037.5;12.0;;;;;;;76.55;15.2;1347714235000;19294;1.5;1.0;246.8;1.0;1.5;0.0
18h05m20s;48.35916;-4.55735;1037.5;12.0;;;;;;;76.00;16.3;1348755871000;19294;1.5;1.0;246.1;1.0;1.5;0.0
18h05m21s;48.35916;-4.55735;1038.0;12.0;;;;;;;76.00;17.3;1349797508000;19294;1.5;1.0;246.5;1.0;1.5;0.0
18h05m22s;48.35915;-4.55735;1037.3;12.0;;;;;;;74.35;18.4;1350839144000;19294;1.5;1.0;247.3;1.0;1.5;0.0
18h05m23s;48.35914;-4.55734;1037.5;12.0;;;;;;;75.45;19.4;1351880781000;19294;1.5;1.0;248.2;1.0;1.5;0.0
18h05m24s;48.35914;-4.55734;1037.8;12.1;;;;;;;74.90;19.6;1352005778000;19294;1.5;1.0;248.3;1.0;1.5;0.0
18h05m25s;48.35914;-4.55734;1037.5;12.0;;;;;;;74.35;20.6;1353089080000;19294;1.5;1.0;249.0;1.0;1.5;0.0
18h05m26s;48.35914;-4.55734;1037.2;12.0;;;;;;;75.45;21.7;1354130717000;13182;1.5;1.0;371.8;1.0;1.5;0.0
18h05m27s;48.35913;-4.55734;1037.6;12.1;;;;;;;75.45;22.7;1355172353000;8285;1.0;1.0;977.6;1.0;1.5;0.0
18h05m28s;48.35913;-4.55734;1037.1;12.1;;;;;;;74.90;23.8;1356213989000;8468;1.0;1.0;839.9;1.0;1.5;0.0
18h05m29s;48.35913;-4.55735;1037.8;12.1;;;;;;;76.55;24.8;1357255626000;9992;1.2;1.0;312.9;1.0;1.5;0.0
18h05m30s;48.35913;-4.55735;1037.6;12.1;;;;;;;76.00;25.9;1358297263000;11107;1.5;1.0;433.8;1.0;1.5;0.0
18h05m31s;48.35913;-4.55735;1037.5;12.1;;;;;;;76.00;26.9;1359338902000;9992;1.4;1.0;682.3;1.0;1.5;0.0
18h05m32s;48.35914;-4.55735;1038.0;12.1;;;;;;;76.00;27.9;1360380537000;9992;1.5;1.0;599.9;1.0;1.5;0.0
18h05m33s;48.35914;-4.55735;1037.8;12.1;;;;;;;75.45;29.0;1361422176000;10388;1.5;1.0;579.1;1.0;1.5;0.0
18h05m34s;48.35914;-4.55736;1037.6;12.1;;;;;;;76.00;29.6;1362047155000;10148;1.5;1.0;646.6;1.1;1.7;0.0
18h05m35s;48.35914;-4.55736;1037.6;12.1;;;;;;;76.55;30.6;1363088794000;9992;1.4;1.0;586.5;1.1;1.7;0.0
18h05m36s;48.35915;-4.55736;1037.9;12.1;;;;;;;76.55;31.7;1364130430000;9992;1.4;1.0;452.5;1.1;1.7;0.0
18h05m37s;48.35915;-4.55736;1037.8;12.2;;;;;;;74.90;32.7;1365172066000;10430;1.5;1.0;363.8;1.1;1.7;0.0
18h05m38s;48.35915;-4.55736;1039.8;12.2;;;;;;;77.10;33.8;1366213704000;38376;2.0;1.0;34.9;1.1;1.7;0.0
18h05m39s;48.35915;-4.55735;1046.1;12.1;;;;;;;76.00;34.8;1367255341000;41354;6.2;1.0;29.7;1.1;1.7;0.0
18h05m40s;48.35914;-4.55733;1060.3;12.0;;;;;;;76.55;35.9;1368296979000;41354;7.0;1.0;30.8;1.1;1.7;0.0
18h05m41s;48.35914;-4.55732;1095.0;11.9;;;;;;;76.00;36.9;1369338613000;41354;7.4;1.0;24.6;1.1;1.7;0.0
18h05m42s;48.35914;-4.55730;1121.5;11.8;;;;;;;78.75;37.9;1370380250000;41354;7.8;1.0;23.4;1.1;1.7;0.0
18h05m43s;48.35913;-4.55727;1125.2;11.6;;;;;;;77.65;39.0;1371421888000;41354;7.9;1.0;24.6;1.1;1.7;0.0
18h05m45s;;;1158.7;11.4;;;;;;;77.10;40.9;1373380167000;41354;5.3;1.0;35.8;3.1;2.7;0.0
18h05m46s;;;1167.5;11.3;;;;;;;76.55;42.0;1374421802000;41354;5.0;1.0;37.0;3.1;2.7;0.0
18h05m47s;;;1171.4;11.2;;;;;;;77.10;43.0;1375463433000;41354;4.8;1.0;38.4;3.1;2.7;0.0
18h05m48s;;;1175.2;11.1;;;;;;;77.10;44.1;1376505083000;41354;4.8;1.0;37.7;3.1;2.7;0.0
18h05m49s;;;1185.8;11.1;;;;;;;77.10;45.1;1377588379000;41354;4.9;1.0;35.8;3.1;2.7;0.0
18h05m50s;;;1187.0;11.0;;;;;;;77.10;46.2;1378630013000;41354;5.0;1.0;34.0;3.1;2.7;0.0
18h05m51s;;;1186.5;11.0;;;;;;;77.10;47.2;1379671651000;41354;5.1;1.0;33.1;3.1;2.7;0.0
18h05m52s;;;1185.3;10.9;;;;;;;77.10;48.3;1380713287000;41354;5.3;1.0;33.0;3.1;2.7;0.0
18h05m53s;;;1188.0;10.9;;;;;;;77.10;49.3;1381754924000;41354;5.7;1.0;27.7;3.1;2.7;0.0
18h05m54s;;;1192.6;10.8;;;;;;;77.10;50.3;1382796562000;41354;8.6;1.0;19.2;3.1;2.7;0.0
18h05m55s;;;1194.1;10.9;;;;;;;76.55;50.5;1382963225000;41354;8.6;1.0;18.2;3.1;2.7;0.0
18h05m56s;;;1193.5;10.8;;;;;;;76.00;51.6;1384004861000;41354;9.1;1.0;20.2;3.1;2.7;0.0
18h05m57s;;;1193.5;10.8;;;;;;;77.10;52.6;1385046497000;41354;7.5;1.0;21.4;3.1;2.7;0.0
18h05m58s;;;1194.3;10.7;;;;;;;76.00;53.6;1386088134000;41354;7.8;1.0;21.0;3.1;2.7;0.0
18h05m59s;;;1193.2;10.7;;;;;;;76.00;54.7;1387129771000;41354;6.5;1.0;24.8;3.1;2.7;0.0
18h06m00s;;;1194.3;10.7;;;;;;;78.20;55.7;1388171408000;41354;7.3;1.0;20.0;3.1;2.7;0.0
18h06m01s;;;1195.2;10.6;;;;;;;78.20;56.8;1389213044000;41354;11.8;1.0;14.7;3.1;2.7;0.0
18h06m02s;;;1194.7;10.6;;;;;;;77.65;57.8;1390254682000;41354;10.9;1.0;16.3;3.1;2.7;0.0
18h06m03s;;;1195.0;10.6;;;;;;;77.65;58.9;1391296319000;41354;11.3;1.0;15.2;3.1;2.7;0.0
18h06m04s;;;1195.1;10.6;;;;;;;77.10;59.9;1392337956000;41354;11.4;1.0;15.4;3.1;2.7;0.0
18h06m05s;;;1195.3;10.6;;;;;;;78.20;60.5;1392921274000;41354;11.4;1.0;15.3;2.9;2.7;0.0
18h06m06s;;;1195.5;10.5;;;;;;;77.65;61.5;1394004574000;41354;11.4;1.0;15.5;2.9;2.7;0.0
18h06m07s;;;1195.1;10.5;;;;;;;77.10;62.6;1395046211000;41354;11.3;1.0;15.7;2.9;2.7;0.0
18h06m08s;;;1195.5;10.5;;;;;;;75.45;63.6;1396087849000;41354;11.1;1.0;16.0;2.9;2.7;0.0
18h06m09s;;;1195.6;10.5;;;;;;;77.10;64.7;1397129486000;41354;10.7;1.0;16.7;2.9;2.7;0.0
18h06m10s;;;1195.3;10.5;;;;;;;76.55;65.7;1398171125000;41354;10.2;1.0;17.4;2.9;2.7;0.0
18h06m11s;;;1195.4;10.5;;;;;;;76.55;66.8;1399212760000;41354;9.5;1.0;19.3;2.9;2.7;0.0
18h06m12s;;;1195.5;10.5;;;;;;;77.10;67.8;1400254396000;41354;8.5;1.0;21.6;2.9;2.7;0.0
18h06m13s;;;1195.6;10.5;;;;;;;78.20;68.9;1401296034000;41354;7.7;1.0;23.8;2.9;2.7;0.0
18h06m14s;;;1195.4;10.4;;;;;;;76.55;69.9;1402337671000;41354;7.0;1.0;25.6;2.9;2.7;0.0
18h06m14s;;;1195.1;10.5;;;;;;;78.20;70.0;1402504340000;41354;7.0;1.0;25.9;2.9;2.7;0.0
18h06m15s;;;1195.3;10.4;;;;;;;76.55;71.1;1403545969000;41354;6.5;1.0;27.2;2.9;2.7;0.0
18h06m16s;;;1195.6;10.4;;;;;;;76.55;72.1;1404587606000;41354;6.1;1.0;28.6;2.9;2.7;0.0
18h06m17s;;;1195.6;10.4;;;;;;;76.00;73.2;1405629245000;41354;5.9;1.0;29.9;2.9;2.7;0.0
18h06m18s;;;1194.9;10.4;;;;;;;77.10;74.2;1406670882000;41354;5.9;1.0;30.9;2.9;2.7;0.0
18h06m19s;;;1195.4;10.4;;;;;;;77.10;75.3;1407712518000;41354;5.9;1.0;31.6;2.9;2.7;0.0
18h06m20s;;;1195.2;10.4;;;;;;;77.10;76.3;1408754157000;41354;5.9;1.0;32.1;2.9;2.7;0.0
18h06m21s;;;1195.1;10.4;;;;;;;76.55;77.4;1409795791000;41354;5.9;1.0;32.4;2.9;2.7;0.0
18h06m22s;;;1195.2;10.4;;;;;;;76.00;78.4;1410837430000;41354;5.9;1.0;32.7;2.9;2.7;0.0
18h06m23s;;;1195.2;10.4;;;;;;;76.55;79.4;1411879065000;41354;5.9;1.0;32.9;2.9;2.7;0.0
18h06m24s;;;1195.5;10.4;;;;;;;77.65;79.6;1412045726000;41354;5.9;1.0;32.9;2.9;2.7;0.0
18h06m25s;;;1195.1;10.4;;;;;;;77.10;80.6;1413087365000;41354;5.9;1.0;33.0;2.9;2.7;0.0
18h06m26s;;;1195.4;10.4;;;;;;;77.10;81.7;1414129001000;41354;5.9;1.0;33.1;2.9;2.7;0.0
18h06m27s;;;1195.2;10.4;;;;;;;77.10;82.7;1415170638000;41354;5.9;1.0;33.1;2.9;2.7;0.0
18h06m28s;;;1195.7;10.4;;;;;;;76.55;83.8;1416212275000;41354;5.9;1.0;33.2;2.9;2.7;0.0
18h06m29s;;;1195.2;10.4;;;;;;;76.00;84.8;1417253913000;41354;5.9;1.0;33.2;2.9;2.7;0.0
18h06m30s;;;1195.5;10.4;;;;;;;75.45;85.8;1418295548000;41354;5.9;1.0;33.2;2.9;2.7;0.0
18h06m31s;;;1195.4;10.4;;;;;;;74.90;86.9;1419337185000;41354;5.9;1.0;33.1;2.9;2.7;0.0
18h06m32s;;;1194.9;10.4;;;;;;;76.00;87.9;1420378823000;41354;5.9;1.0;33.1;2.9;2.7;0.0
18h06m33s;;;1195.3;10.4;;;;;;;75.45;89.0;1421420459000;41354;5.9;1.0;33.1;2.9;2.7;0.0
18h06m33s;;;1195.4;10.4;;;;;;;77.65;89.1;1421587125000;41354;5.9;1.0;33.1;2.9;2.7;0.0
18h06m34s;;;1195.5;10.4;;;;;;;77.10;90.2;1422628758000;41354;5.9;1.0;33.0;2.9;2.7;0.0
18h06m35s;;;1195.1;10.4;;;;;;;76.00;91.2;1423670396000;41354;5.9;1.0;33.0;2.9;2.7;0.0
18h06m36s;;;1194.8;10.4;;;;;;;76.55;92.3;1424712033000;41354;5.9;1.0;32.9;2.9;2.7;0.0
18h06m37s;;;1195.3;10.4;;;;;;;76.00;93.3;1425753669000;41354;5.9;1.0;32.8;2.9;2.7;0.0
18h06m38s;;;1195.6;10.4;;;;;;;77.10;94.3;1426795306000;41354;5.9;1.0;32.7;2.9;2.7;0.0
18h06m39s;;;1195.2;10.4;;;;;;;76.55;95.4;1427836943000;41354;5.9;1.0;32.6;2.9;2.7;0.0
18h06m40s;;;1195.7;10.4;;;;;;;75.45;96.4;1428878580000;41354;6.0;1.0;32.5;2.9;2.7;0.0
18h06m42s;;;1195.1;10.4;;;;;;;76.00;97.5;1429920217000;41354;6.0;1.0;32.3;2.9;2.7;0.0
18h06m43s;;;1195.8;10.3;;;;;;;76.55;98.5;1430961854000;41354;6.0;1.0;32.0;2.9;2.7;0.0
18h06m43s;;;1195.1;10.4;;;;;;;76.00;98.7;1431128517000;41354;6.0;1.0;32.0;2.9;2.7;0.0
18h06m44s;;;1195.2;10.4;;;;;;;76.00;99.7;1432170153000;41354;6.1;1.0;31.8;2.9;2.7;0.0
18h06m45s;;;1195.2;10.3;;;;;;;77.10;100.8;1433211790000;41354;6.1;1.0;31.7;2.9;2.7;0.0
18h06m46s;;;1195.3;10.3;;;;;;;77.10;101.8;1434253426000;41354;6.1;1.0;31.6;2.9;2.7;0.0
18h06m47s;;;1195.3;10.3;;;;;;;75.45;102.8;1435295063000;41354;6.2;1.0;31.5;2.9;2.7;0.0
18h06m48s;;;1195.3;10.3;;;;;;;74.35;103.9;1436336701000;41354;6.2;1.0;31.6;2.9;2.7;0.0
18h06m49s;;;1195.3;10.3;;;;;;;76.55;104.9;1437378337000;41354;6.2;1.0;31.5;2.9;2.7;0.0
18h06m50s;;;1195.3;10.4;;;;;;;77.65;106.0;1438419974000;41354;6.3;1.0;31.5;2.9;2.7;0.0
18h06m51s;;;1195.3;10.4;;;;;;;77.10;107.0;1439461612000;41354;6.3;1.0;31.5;2.9;2.7;0.0
18h06m52s;;;1195.7;10.4;;;;;;;76.55;108.1;1440503253000;41354;6.3;1.0;31.6;2.9;2.7;0.0
18h06m52s;;;1195.5;10.4;;;;;;;76.55;108.2;1440628246000;41354;6.3;1.0;31.6;2.9;2.7;0.0
18h06m53s;;;1195.2;10.4;;;;;;;76.55;109.2;1441711547000;41354;6.3;1.0;31.8;2.9;2.7;0.0
18h06m54s;;;1195.4;10.4;;;;;;;75.45;110.3;1442753184000;41354;6.4;1.0;31.8;2.9;2.7;0.0
18h06m55s;;;1195.5;10.4;;;;;;;75.45;111.3;1443794820000;41354;6.4;1.0;32.0;2.9;2.7;0.0
18h06m56s;;;1195.1;10.4;;;;;;;77.10;112.4;1444836457000;41354;6.4;1.0;32.2;2.9;2.7;0.0
18h06m57s;;;1195.2;10.4;;;;;;;76.00;113.4;1445878095000;41354;6.4;1.0;32.3;2.9;2.7;0.0
18h06m59s;;;1195.3;10.4;;;;;;;77.10;114.5;1446919732000;41354;6.4;1.0;32.4;2.9;2.7;0.0
18h07m00s;;;1195.1;10.4;;;;;;;76.00;115.5;1447961368000;41354;6.4;1.0;32.5;2.9;2.7;0.0
18h07m01s;;;1195.3;10.4;;;;;;;76.55;116.6;1449003006000;41354;6.4;1.0;32.6;2.9;2.7;0.0
18h07m02s;;;1195.1;10.4;;;;;;;76.55;117.6;1450044641000;41354;6.4;1.0;32.8;2.9;2.7;0.0
18h07m02s;;;1195.0;10.4;;;;;;;76.00;117.7;1450169640000;41354;6.4;1.0;32.8;2.9;2.7;0.0
18h07m03s;;;1195.3;10.4;;;;;;;75.45;118.8;1451211276000;41354;6.4;1.0;32.9;2.9;2.7;0.0
