Heure;Event;Fichier
18h05m04s;START ENCODER;0016.h264
18h05m04s;START MOTEUR; 
18h05m13s;START AWB ALGO; 
18h05m14s;END AWB ALGO; 
18h05m23s;START AWB ALGO; 
18h05m24s;END AWB ALGO; 
18h05m33s;START AWB ALGO; 
18h05m34s;END AWB ALGO; 
18h05m43s;START AWB ALGO; 
18h05m45s;END AWB ALGO; 
18h05m54s;START AWB ALGO; 
18h05m54s;END AWB ALGO; 
18h06m04s;START AWB ALGO; 
18h06m04s;END AWB ALGO; 
18h06m14s;START AWB ALGO; 
18h06m14s;END AWB ALGO; 
18h06m23s;START AWB ALGO; 
18h06m24s;END AWB ALGO; 
18h06m33s;START AWB ALGO; 
18h06m33s;END AWB ALGO; 
18h06m43s;START AWB ALGO; 
18h06m43s;END AWB ALGO; 
18h06m52s;START AWB ALGO; 
18h06m52s;END AWB ALGO; 
18h07m02s;START AWB ALGO; 
18h07m02s;END AWB ALGO; 
18h07m11s;START AWB ALGO; 
18h07m11s;END AWB ALGO; 
18h07m21s;START AWB ALGO; 
18h07m21s;END AWB ALGO; 
18h07m30s;START AWB ALGO; 
18h07m30s;END AWB ALGO; 
18h07m40s;START AWB ALGO; 
18h07m40s;END AWB ALGO; 
18h07m49s;START AWB ALGO; 
18h07m49s;END AWB ALGO; 
18h07m59s;START AWB ALGO; 
18h07m59s;END AWB ALGO; 
18h08m08s;START AWB ALGO; 
18h08m09s;END AWB ALGO; 
18h08m18s;START AWB ALGO; 
18h08m18s;END AWB ALGO; 
18h08m28s;START AWB ALGO; 
18h08m28s;END AWB ALGO; 
18h08m37s;START AWB ALGO; 
18h08m37s;END AWB ALGO; 
18h08m47s;START AWB ALGO; 
18h08m47s;END AWB ALGO; 
18h08m56s;START AWB ALGO; 
18h08m56s;END AWB ALGO; 
18h09m06s;START AWB ALGO; 
18h09m06s;END AWB ALGO; 
18h09m15s;START AWB ALGO; 
18h09m16s;END AWB ALGO; 
18h09m26s;START AWB ALGO; 
18h09m27s;END AWB ALGO; 
18h09m37s;START AWB ALGO; 
18h09m37s;END AWB ALGO; 
18h09m47s;START AWB ALGO; 
18h09m47s;END AWB ALGO; 
18h09m57s;START AWB ALGO; 
18h09m57s;END AWB ALGO; 
18h10m07s;START AWB ALGO; 
18h10m08s;END AWB ALGO; 
18h10m17s;START AWB ALGO; 
18h10m17s;END AWB ALGO; 
18h10m27s;START AWB ALGO; 
18h10m27s;END AWB ALGO; 
18h10m36s;START AWB ALGO; 
18h10m36s;END AWB ALGO; 
18h10m38s; SORTIE BOUTON
18h10m38s;END ENCODER;0016.h264
18h10m38s;START CONVERSION;0016.h264
18h10m38s;END MOTEUR; 
18h10m39s;END CONVERSION;0016.mp4
