HMS;Lat;Long;Pression;TempC;RLux;GLux;BLux;XMagneto;YMagneto;ZMagneto;TempCPU;Delta(s);TStamp;ExpTime;AnG;DiG;Lux;RedG;BlueG;Bright
17h20m36s;;;1029.9;13.1;;;;;;;77.10;0.0;3223922155000;23048;1.5;1.0;182.5;0.8;1.5;0.0
17h20m37s;;;1029.8;13.1;;;;;;;76.55;1.1;3224963770000;23048;1.5;1.0;182.1;0.8;1.5;0.0
17h20m38s;;;1030.2;13.1;;;;;;;77.65;2.1;3226005405000;23048;1.5;1.0;182.5;0.8;1.5;0.0
17h20m39s;;;1030.2;13.1;;;;;;;76.55;3.1;3227047044000;23048;1.5;1.0;166.4;0.8;1.5;0.0
17h20m40s;;;1030.5;13.1;;;;;;;77.10;4.2;3228088681000;22808;1.5;1.0;235.0;0.8;1.5;0.0
17h20m41s;;;1029.8;13.1;;;;;;;77.10;5.2;3229130317000;15144;1.5;1.0;328.4;0.8;1.5;0.0
17h20m42s;;;1030.2;13.1;;;;;;;76.00;6.3;3230171954000;13973;1.5;1.0;249.1;0.8;1.5;0.0
17h20m43s;;;1030.4;13.1;;;;;;;77.65;7.3;3231213590000;23090;1.5;1.0;189.1;0.8;1.5;0.0
17h20m44s;;;1029.8;13.1;;;;;;;77.10;8.4;3232255227000;21425;1.5;1.0;202.6;0.8;1.5;0.0
17h20m45s;;;1030.1;13.2;;;;;;;76.00;9.4;3233296862000;21425;1.5;1.0;202.9;0.8;1.5;0.0
17h20m46s;;;1030.0;13.2;;;;;;;77.10;10.0;3233880182000;21425;1.5;1.0;183.4;1.2;1.7;0.0
17h20m47s;;;1030.1;13.2;;;;;;;75.45;11.0;3234963489000;23345;1.5;1.0;181.3;1.2;1.7;0.0
17h20m48s;;;1030.2;13.2;;;;;;;76.55;12.1;3236005117000;23345;1.5;1.0;182.6;1.2;1.7;0.0
17h20m49s;;;1030.3;13.2;;;;;;;75.45;13.1;3237046753000;23345;1.5;1.0;182.4;1.2;1.7;0.0
17h20m50s;;;1030.2;13.2;;;;;;;77.65;14.2;3238088390000;23345;1.5;1.0;181.6;1.2;1.7;0.0
17h20m51s;;;1030.3;13.2;;;;;;;75.45;15.2;3239130028000;23345;1.5;1.0;181.4;1.2;1.7;0.0
17h20m52s;;;1030.1;13.2;;;;;;;75.45;16.3;3240171664000;23345;1.5;1.0;181.4;1.2;1.7;0.0
17h20m53s;;;1030.3;13.2;;;;;;;76.00;17.3;3241213300000;23345;1.5;1.0;181.2;1.2;1.7;0.0
17h20m54s;;;1030.1;13.2;;;;;;;77.10;18.4;3242254939000;23345;1.5;1.0;181.0;1.2;1.7;0.0
17h20m55s;;;1030.2;13.2;;;;;;;76.00;19.4;3243296574000;23345;1.5;1.0;180.8;1.2;1.7;0.0
17h20m55s;;;1029.7;13.3;;;;;;;74.90;19.5;3243421572000;23345;1.5;1.0;180.7;1.2;1.7;0.0
