Heure;Event;Fichier
17h20m36s;START MOTEUR; 
17h20m36s;START ENCODER;0012.h264
17h20m45s;START AWB ALGO; 
17h20m46s;END AWB ALGO; 
17h20m55s;START AWB ALGO; 
17h20m55s;END AWB ALGO; 
17h21m05s;START AWB ALGO; 
17h21m05s;END AWB ALGO; 
17h21m14s;START AWB ALGO; 
17h21m16s;END AWB ALGO; 
17h21m26s;START AWB ALGO; 
17h21m26s;END AWB ALGO; 
17h21m35s;START AWB ALGO; 
17h21m36s;END AWB ALGO; 
17h21m45s;START AWB ALGO; 
17h21m45s;END AWB ALGO; 
17h21m55s;START AWB ALGO; 
17h21m55s;END AWB ALGO; 
17h22m04s;START AWB ALGO; 
17h22m04s;END AWB ALGO; 
17h22m14s;START AWB ALGO; 
17h22m14s;END AWB ALGO; 
17h22m23s;START AWB ALGO; 
17h22m23s;END AWB ALGO; 
17h22m33s;START AWB ALGO; 
17h22m33s;END AWB ALGO; 
17h22m42s;START AWB ALGO; 
17h22m43s;END AWB ALGO; 
17h22m52s;START AWB ALGO; 
17h22m52s;END AWB ALGO; 
17h23m01s;START AWB ALGO; 
17h23m02s;END AWB ALGO; 
17h23m11s;START AWB ALGO; 
17h23m11s;END AWB ALGO; 
17h23m21s;START AWB ALGO; 
17h23m21s;END AWB ALGO; 
17h23m30s;START AWB ALGO; 
17h23m30s;END AWB ALGO; 
17h23m40s;START AWB ALGO; 
17h23m40s;END AWB ALGO; 
17h23m49s;START AWB ALGO; 
17h23m49s;END AWB ALGO; 
17h23m59s;START AWB ALGO; 
17h23m59s;END AWB ALGO; 
17h24m08s;START AWB ALGO; 
17h24m08s;END AWB ALGO; 
17h24m18s;START AWB ALGO; 
17h24m18s;END AWB ALGO; 
17h24m27s;START AWB ALGO; 
17h24m28s;END AWB ALGO; 
17h24m38s;START AWB ALGO; 
17h24m38s;END AWB ALGO; 
17h24m48s;START AWB ALGO; 
17h24m48s;END AWB ALGO; 
17h24m57s;START AWB ALGO; 
17h24m58s;END AWB ALGO; 
17h25m07s;START AWB ALGO; 
17h25m08s;END AWB ALGO; 
17h25m17s;START AWB ALGO; 
17h25m18s;END AWB ALGO; 
17h25m27s;START AWB ALGO; 
17h25m29s;END AWB ALGO; 
17h25m38s;START AWB ALGO; 
17h25m38s;END AWB ALGO; 
17h25m48s;START AWB ALGO; 
17h25m49s;END AWB ALGO; 
17h25m58s;START AWB ALGO; 
17h25m59s;END AWB ALGO; 
17h26m09s;START AWB ALGO; 
17h26m09s;END AWB ALGO; 
17h26m19s;START AWB ALGO; 
17h26m19s;END AWB ALGO; 
17h26m28s;START AWB ALGO; 
17h26m28s;END AWB ALGO; 
17h26m38s;START AWB ALGO; 
17h26m38s;END AWB ALGO; 
17h26m43s; SORTIE BOUTON
17h26m44s;END MOTEUR; 
17h26m44s;END ENCODER;0012.h264
17h26m44s;START CONVERSION;0012.h264
17h26m45s;END CONVERSION;0012.mp4
