HMS;Lat;Long;Pression;TempC;RLux;GLux;BLux;XMagneto;YMagneto;ZMagneto;TempCPU;Delta(s);TStamp;ExpTime;AnG;DiG;Lux;RedG;BlueG;Bright
17h56m21s;48.35886;-4.55842;1038.8;12.1;;;;;;;73.25;0.0;808952045000;32533;2.0;1.0;86.8;1.0;1.5;0.0
17h56m22s;48.35885;-4.55841;1038.8;12.1;;;;;;;76.55;1.0;810035346000;30204;2.0;1.0;90.4;1.0;1.5;0.0
17h56m23s;48.35885;-4.55841;1038.7;12.1;;;;;;;76.00;2.1;811076983000;32476;2.0;1.0;85.6;1.0;1.5;0.0
17h56m24s;48.35885;-4.55840;1039.1;12.2;;;;;;;74.90;3.1;812118618000;33803;2.0;1.0;89.6;1.0;1.5;0.0
17h56m25s;48.35885;-4.55840;1038.6;12.2;;;;;;;75.45;4.2;813160255000;30628;2.0;1.0;92.7;1.0;1.5;0.0
17h56m26s;48.35885;-4.55839;1039.0;12.2;;;;;;;76.00;5.2;814201892000;30628;2.0;1.0;89.4;1.0;1.5;0.0
17h56m27s;48.35884;-4.55838;1038.3;12.2;;;;;;;74.90;6.3;815243530000;30910;2.0;1.0;89.1;1.0;1.5;0.0
17h56m28s;48.35884;-4.55838;1038.7;12.2;;;;;;;74.90;7.3;816285165000;32222;2.0;1.0;88.1;1.0;1.5;0.0
17h56m29s;48.35884;-4.55838;1038.8;12.2;;;;;;;76.00;8.4;817326803000;25786;1.5;1.0;132.8;1.0;1.5;0.0
17h56m30s;48.35884;-4.55838;1039.0;12.2;;;;;;;75.45;9.4;818368439000;9992;1.3;1.0;664.3;1.0;1.5;0.0
17h56m30s;48.35884;-4.55838;1038.3;12.3;;;;;;;74.90;9.6;818535102000;9992;1.2;1.0;1022.9;1.0;1.5;0.0
17h56m31s;48.35885;-4.55838;1038.3;12.2;;;;;;;77.10;10.6;819576736000;9992;1.1;1.0;449.4;1.0;1.5;0.0
17h56m32s;48.35885;-4.55838;1038.8;12.2;;;;;;;75.45;11.6;820618372000;10148;1.5;1.0;497.5;1.0;1.5;0.0
17h56m33s;48.35885;-4.55838;1038.9;12.2;;;;;;;76.55;12.7;821660009000;9992;1.2;1.0;653.6;1.0;1.5;0.0
17h56m34s;48.35885;-4.55837;1038.3;12.2;;;;;;;76.00;13.7;822701648000;9992;1.4;1.0;601.1;1.0;1.5;0.0
17h56m35s;48.35885;-4.55837;1038.1;12.2;;;;;;;76.55;14.8;823743284000;9992;1.5;1.0;464.5;1.0;1.5;0.0
17h56m36s;48.35885;-4.55837;1038.5;12.3;;;;;;;74.90;15.8;824784920000;11912;1.5;1.0;333.1;1.0;1.5;0.0
17h56m37s;48.35885;-4.55837;1038.6;12.2;;;;;;;75.45;16.9;825826557000;14735;1.5;1.0;308.5;1.0;1.5;0.0
17h56m38s;48.35885;-4.55836;1038.0;12.3;;;;;;;76.55;17.9;826868191000;11362;1.5;1.0;349.7;1.0;1.5;0.0
17h56m40s;48.35884;-4.55832;1047.4;12.2;;;;;;;75.45;19.0;827909827000;41354;4.6;1.0;38.4;1.0;1.5;0.0
17h56m42s;48.35884;-4.55831;1106.1;11.9;;;;;;;77.65;21.4;830326424000;41354;4.7;1.0;37.6;3.1;2.7;0.0
17h56m43s;48.35885;-4.55832;1113.6;11.7;;;;;;;76.55;22.4;831368060000;41354;5.2;1.0;33.8;3.1;2.7;0.0
17h56m44s;48.35885;-4.55834;1136.9;11.6;;;;;;;76.55;23.4;832409697000;41354;5.5;1.0;31.4;3.1;2.7;0.0
17h56m45s;;;1154.9;11.5;;;;;;;77.10;24.5;833451333000;41354;6.1;1.0;29.0;3.1;2.7;0.0
