Heure;Event;Fichier
17h56m21s;START MOTEUR; 
17h56m21s;START ENCODER;0015.h264
17h56m30s;START AWB ALGO; 
17h56m30s;END AWB ALGO; 
17h56m40s;START AWB ALGO; 
17h56m42s;END AWB ALGO; 
17h56m51s;START AWB ALGO; 
17h56m51s;END AWB ALGO; 
17h57m01s;START AWB ALGO; 
17h57m01s;END AWB ALGO; 
17h57m10s;START AWB ALGO; 
17h57m10s;END AWB ALGO; 
17h57m20s;START AWB ALGO; 
17h57m20s;END AWB ALGO; 
17h57m29s;START AWB ALGO; 
17h57m30s;END AWB ALGO; 
17h57m39s;START AWB ALGO; 
17h57m39s;END AWB ALGO; 
17h57m49s;START AWB ALGO; 
17h57m49s;END AWB ALGO; 
17h57m58s;START AWB ALGO; 
17h57m58s;END AWB ALGO; 
17h58m08s;START AWB ALGO; 
17h58m08s;END AWB ALGO; 
17h58m17s;START AWB ALGO; 
17h58m17s;END AWB ALGO; 
17h58m27s;START AWB ALGO; 
17h58m27s;END AWB ALGO; 
17h58m36s;START AWB ALGO; 
17h58m36s;END AWB ALGO; 
17h58m46s;START AWB ALGO; 
17h58m46s;END AWB ALGO; 
17h58m55s;START AWB ALGO; 
17h58m55s;END AWB ALGO; 
17h59m05s;START AWB ALGO; 
17h59m05s;END AWB ALGO; 
17h59m14s;START AWB ALGO; 
17h59m15s;END AWB ALGO; 
17h59m24s;START AWB ALGO; 
17h59m24s;END AWB ALGO; 
17h59m33s;START AWB ALGO; 
17h59m34s;END AWB ALGO; 
17h59m43s;START AWB ALGO; 
17h59m43s;END AWB ALGO; 
17h59m53s;START AWB ALGO; 
17h59m53s;END AWB ALGO; 
18h00m02s;START AWB ALGO; 
18h00m02s;END AWB ALGO; 
18h00m12s;START AWB ALGO; 
18h00m12s;END AWB ALGO; 
18h00m21s;START AWB ALGO; 
18h00m21s;END AWB ALGO; 
18h00m31s;START AWB ALGO; 
18h00m31s;END AWB ALGO; 
18h00m40s;START AWB ALGO; 
18h00m40s;END AWB ALGO; 
18h00m50s;START AWB ALGO; 
18h00m50s;END AWB ALGO; 
18h01m00s;START AWB ALGO; 
18h01m00s;END AWB ALGO; 
18h01m10s;START AWB ALGO; 
18h01m11s;END AWB ALGO; 
18h01m21s;START AWB ALGO; 
18h01m21s;END AWB ALGO; 
18h01m30s;START AWB ALGO; 
18h01m30s;END AWB ALGO; 
18h01m40s;START AWB ALGO; 
18h01m40s;END AWB ALGO; 
18h01m49s;START AWB ALGO; 
18h01m50s;END AWB ALGO; 
18h01m59s;START AWB ALGO; 
18h01m59s;END AWB ALGO; 
18h02m04s; SORTIE BOUTON
18h02m04s;END MOTEUR; 
18h02m05s;END ENCODER;0015.h264
18h02m05s;START CONVERSION;0015.h264
18h02m06s;END CONVERSION;0015.mp4
