HMS;Lat;Long;Pression;TempC;RLux;GLux;BLux;XMagneto;YMagneto;ZMagneto;TempCPU;Delta(s);TStamp;ExpTime;AnG;DiG;Lux;RedG;BlueG;Bright;TStamp2;ExpTime2;AnG2;DiG2;Lux2;RedG2;BlueG2;Bright2
11h17m34s;;;1545.8;18.0;149;615;493;;;;82.05;30.8;3542499928000;7866;1.0;1.0;676.8;7.9;1.4;0.0;3542497547000;7525;1.0;1.0;688.6;7.9;1.4;0.0
11h17m35s;;;1545.9;18.0;148;620;496;;;;83.15;31.9;3543541427000;7866;1.0;1.0;679.8;7.9;1.4;0.0;3543539039000;7466;1.0;1.0;691.5;7.9;1.4;0.0
11h17m39s;;;1545.9;18.0;149;620;501;;;;82.05;32.9;3543791386000;7792;1.0;1.0;680.6;7.9;1.4;0.0;3547413392000;7466;1.0;1.0;703.8;7.9;1.4;0.0
11h17m40s;;;1545.6;18.0;152;643;513;;;;84.25;36.8;3548498961000;7629;1.0;1.0;694.8;7.9;1.4;0.0;3548496541000;7303;1.0;1.0;707.1;7.9;1.4;0.0
11h17m41s;;;1545.8;18.0;155;636;510;;;;83.70;37.9;3549540458000;7629;1.0;1.0;698.9;7.9;1.4;0.0;3549579690000;7303;1.0;1.0;711.1;7.9;1.4;0.0
11h17m42s;;;1545.9;18.0;155;638;514;;;;83.70;38.9;3550623634000;7569;1.0;1.0;703.2;7.9;1.4;0.0;3550621184000;7243;1.0;1.0;715.4;7.9;1.4;0.0
11h17m43s;;;1546.0;18.0;155;650;519;;;;84.80;40.0;3551665116000;7569;1.0;1.0;707.1;7.9;1.4;0.0;3551662674000;7243;1.0;1.0;719.8;7.9;1.4;0.0
11h17m44s;;;1545.9;18.0;161;653;520;;;;85.35;41.0;3552706615000;7495;1.0;1.0;711.2;7.9;1.4;0.0;3552704169000;7169;1.0;1.0;724.1;7.9;1.4;0.0
11h17m46s;;;1545.6;18.0;157;653;524;;;;84.25;42.1;3553748112000;7436;1.0;1.0;715.7;7.9;1.4;0.0;3553745659000;7110;1.0;1.0;728.4;7.9;1.4;0.0
11h17m47s;;;1545.5;18.0;158;657;525;;;;83.70;43.1;3554789612000;7436;1.0;1.0;720.0;7.9;1.4;0.0;3554787154000;7110;1.0;1.0;732.8;7.9;1.4;0.0
11h17m47s;;;1545.9;18.1;158;657;525;;;;84.80;43.3;3554914598000;7436;1.0;1.0;720.8;7.9;1.4;0.0;3554953790000;7110;1.0;1.0;733.5;7.9;1.4;0.0
11h17m48s;;;1545.4;18.0;160;661;530;;;;84.25;44.3;3555997749000;7362;1.0;1.0;725.1;7.9;1.4;0.0;3555995286000;7036;1.0;1.0;738.1;7.9;1.4;0.0
11h17m49s;;;1546.1;18.0;159;666;532;;;;83.70;45.4;3557039248000;7303;1.0;1.0;730.0;7.9;1.4;0.0;3557036776000;6977;1.0;1.0;742.9;7.9;1.4;0.0
11h17m50s;;;1545.9;18.0;162;666;537;;;;83.15;46.4;3558080747000;7303;1.0;1.0;734.4;7.9;1.4;0.0;3558078271000;6977;1.0;1.0;747.5;7.9;1.4;0.0
11h17m51s;;;1545.8;18.0;163;672;541;;;;83.15;47.5;3559122247000;7229;1.0;1.0;738.7;7.9;1.4;0.0;3559119763000;6903;1.0;1.0;751.6;7.9;1.4;0.0
11h17m52s;;;1545.6;18.0;161;677;550;;;;83.15;48.5;3560163745000;7169;1.0;1.0;742.7;7.9;1.4;0.0;3560161257000;6843;1.0;1.0;755.5;7.9;1.4;0.0
11h17m53s;;;1546.1;18.0;163;682;546;;;;84.25;49.6;3561246902000;7169;1.0;1.0;746.9;7.9;1.4;0.0;3561244405000;6843;1.0;1.0;759.6;7.9;1.4;0.0
11h17m54s;;;1546.1;18.0;166;691;551;;;;85.35;50.6;3562288402000;7095;1.0;1.0;750.4;7.9;1.4;0.0;3562285898000;6784;1.0;1.0;763.3;7.9;1.4;0.0
11h17m55s;;;1545.6;18.0;167;685;554;;;;83.70;51.7;3563329899000;7095;1.0;1.0;754.0;7.9;1.4;0.0;3563327390000;6784;1.0;1.0;767.1;7.9;1.4;0.0
11h17m57s;;;1546.1;18.0;164;684;553;;;;82.60;52.7;3564121440000;7036;1.0;1.0;756.5;7.9;1.4;0.0;3564327221000;6725;1.0;1.0;769.8;7.9;1.4;0.0
11h17m57s;;;1545.9;18.0;167;689;553;;;;82.60;53.3;3564996309000;7036;1.0;1.0;759.0;7.9;1.4;0.0;3564993780000;6725;1.0;1.0;771.6;7.9;1.4;0.0
11h17m58s;;;1545.7;18.0;170;688;558;;;;84.25;54.4;3566079457000;7036;1.0;1.0;761.5;7.9;1.4;0.0;3566076929000;6666;1.0;1.0;774.0;7.9;1.4;0.0
11h17m59s;;;1546.4;18.0;168;693;561;;;;85.35;55.5;3567120955000;6962;1.0;1.0;763.5;7.9;1.4;0.0;3567118426000;6666;1.0;1.0;776.3;7.9;1.4;0.0
11h18m00s;;;1545.7;18.0;168;696;559;;;;84.25;56.5;3568162454000;6962;1.0;1.0;766.0;7.9;1.4;0.0;3568159916000;6666;1.0;1.0;779.1;7.9;1.4;0.0
11h18m01s;;;1546.1;18.0;167;695;567;;;;83.70;57.5;3569203954000;6962;1.0;1.0;769.0;7.9;1.4;0.0;3569201410000;6666;1.0;1.0;782.3;7.9;1.4;0.0
11h18m02s;;;1545.3;18.0;167;718;570;;;;83.70;58.6;3570245452000;6903;1.0;1.0;772.9;7.9;1.4;0.0;3570284563000;6592;1.0;1.0;785.9;7.9;1.4;0.0
11h18m03s;;;1545.4;18.0;169;699;567;;;;83.70;59.7;3571328611000;6903;1.0;1.0;776.7;7.9;1.4;0.0;3571326052000;6592;1.0;1.0;789.5;7.9;1.4;0.0
11h18m04s;;;1545.7;18.0;172;704;570;;;;83.15;60.7;3572370110000;6843;1.0;1.0;780.6;7.9;1.4;0.0;3572367547000;6532;1.0;1.0;793.2;7.9;1.4;0.0
11h18m05s;;;1545.9;18.0;172;712;575;;;;84.80;61.8;3573411608000;6843;1.0;1.0;783.7;7.9;1.4;0.0;3573409037000;6532;1.0;1.0;796.4;7.9;1.4;0.0
11h18m06s;;;1545.8;18.0;172;712;586;;;;84.25;62.8;3574453108000;6769;1.0;1.0;786.2;7.9;1.4;0.0;3574450531000;6473;1.0;1.0;799.2;7.9;1.4;0.0
11h18m06s;;;1545.9;18.1;172;717;574;;;;84.25;62.9;3574619750000;6769;1.0;1.0;786.6;7.9;1.4;0.0;3574617170000;6473;1.0;1.0;799.5;7.9;1.4;0.0
11h18m07s;;;1545.7;18.0;172;713;578;;;;83.15;64.0;3575661246000;6769;1.0;1.0;789.5;7.9;1.4;0.0;3575658661000;6473;1.0;1.0;802.4;7.9;1.4;0.0
11h18m08s;;;1545.8;18.0;173;716;582;;;;84.80;65.0;3576702745000;6769;1.0;1.0;791.7;7.9;1.4;0.0;3576700155000;6414;1.0;1.0;804.7;7.9;1.4;0.0
11h18m10s;;;1545.8;18.0;171;718;578;;;;84.80;66.1;3577744244000;6710;1.0;1.0;793.8;7.9;1.4;0.0;3577741646000;6414;1.0;1.0;806.9;7.9;1.4;0.0
11h18m11s;;;1545.6;18.0;171;729;582;;;;85.35;67.1;3578785742000;6710;1.0;1.0;794.6;7.9;1.4;0.0;3578824797000;6414;1.0;1.0;808.1;7.9;1.4;0.0
11h18m12s;;;1545.7;18.0;173;717;583;;;;84.25;68.2;3579868903000;6710;1.0;1.0;794.9;7.9;1.4;0.0;3579866291000;6355;1.0;1.0;808.9;7.9;1.4;0.0
11h18m13s;;;1545.7;18.0;174;727;579;;;;84.80;69.2;3580910399000;6710;1.0;1.0;795.5;7.9;1.4;0.0;3580907784000;6355;1.0;1.0;809.0;7.9;1.4;0.0
11h18m14s;;;1545.9;18.0;173;722;581;;;;83.70;70.3;3581951900000;6710;1.0;1.0;794.7;7.9;1.4;0.0;3581949279000;6355;1.0;1.0;808.6;7.9;1.4;0.0
11h18m15s;;;1545.7;18.0;174;727;577;;;;84.25;71.3;3582993399000;6710;1.0;1.0;793.6;7.9;1.4;0.0;3582990771000;6355;1.0;1.0;807.1;7.9;1.4;0.0
11h18m16s;;;1545.9;18.0;172;718;578;;;;84.25;72.4;3584034897000;6710;1.0;1.0;792.2;7.9;1.4;0.0;3584073921000;6355;1.0;1.0;806.0;7.9;1.4;0.0
11h18m16s;;;1545.8;18.1;172;718;580;;;;83.70;72.5;3584201538000;6710;1.0;1.0;791.7;7.9;1.4;0.0;3584198900000;6355;1.0;1.0;805.8;7.9;1.4;0.0
11h18m17s;;;1546.0;18.0;174;719;575;;;;84.25;73.6;3585243035000;6710;1.0;1.0;790.0;7.9;1.4;0.0;3585240394000;6355;1.0;1.0;803.9;7.9;1.4;0.0
11h18m18s;;;1545.4;18.0;174;716;573;;;;84.25;74.6;3586284536000;6710;1.0;1.0;789.2;7.9;1.4;0.0;3586281886000;6355;1.0;1.0;802.9;7.9;1.4;0.0
11h18m19s;;;1546.2;18.0;174;717;574;;;;85.35;75.7;3587326034000;6710;1.0;1.0;788.9;7.9;1.4;0.0;3587365039000;6355;1.0;1.0;802.3;7.9;1.4;0.0
11h18m20s;;;1545.7;18.0;173;719;575;;;;84.25;76.7;3588409192000;6710;1.0;1.0;787.7;7.9;1.4;0.0;3588406529000;6355;1.0;1.0;801.6;7.9;1.4;0.0
11h18m21s;;;1546.1;18.0;172;715;574;;;;82.05;77.8;3589450693000;6710;1.0;1.0;786.0;7.9;1.4;0.0;3589448023000;6355;1.0;1.0;800.1;7.9;1.4;0.0
11h18m22s;;;1545.5;18.0;173;707;573;;;;82.60;78.8;3590492190000;6710;1.0;1.0;784.2;7.9;1.4;0.0;3590489516000;6355;1.0;1.0;798.4;7.9;1.4;0.0
11h18m23s;;;1546.0;18.0;173;718;573;;;;83.15;79.9;3591533689000;6710;1.0;1.0;782.4;7.9;1.4;0.0;3591531008000;6355;1.0;1.0;796.6;7.9;1.4;0.0
11h18m24s;;;1545.9;18.0;173;708;572;;;;84.25;80.9;3592575190000;6710;1.0;1.0;781.1;7.9;1.4;0.0;3592614159000;6355;1.0;1.0;794.8;7.9;1.4;0.0
