HMS;Lat;Long;Pression;TempC;RLux;GLux;BLux;XMagneto;YMagneto;ZMagneto;TempCPU;Delta(s);TStamp;ExpTime;AnG;DiG;Lux;RedG;BlueG;Bright
18h13m15s;48.35926;-4.55773;1036.5;11.9;;;;;;;70.50;0.0;1823817413000;29992;1.9;1.0;124.9;1.0;1.4;0.0
18h13m16s;48.35926;-4.55773;1036.6;11.9;;;;;;;71.60;1.0;1824859050000;29992;1.8;1.0;130.5;1.0;1.4;0.0
18h13m18s;48.35926;-4.55773;1036.6;11.9;;;;;;;71.60;2.1;1825900686000;29992;1.8;1.0;129.4;1.0;1.4;0.0
18h13m19s;48.35925;-4.55773;1036.5;11.9;;;;;;;71.60;3.1;1826942323000;29992;1.8;1.0;131.9;1.0;1.4;0.0
18h13m20s;48.35924;-4.55772;1036.1;11.9;;;;;;;72.70;4.2;1828025625000;23570;1.5;1.0;312.7;1.0;1.4;0.0
18h13m21s;48.35924;-4.55772;1036.3;11.9;;;;;;;73.25;5.2;1829067261000;4530;1.0;1.0;1229.5;1.0;1.4;0.0
18h13m22s;48.35923;-4.55771;1036.6;11.9;;;;;;;73.80;6.3;1830108897000;12011;1.5;1.0;389.6;1.0;1.4;0.0
18h13m23s;48.35923;-4.55770;1036.4;11.9;;;;;;;73.25;7.3;1831150533000;13775;1.5;1.0;348.7;1.0;1.4;0.0
18h13m24s;48.35923;-4.55770;1036.2;12.0;;;;;;;74.35;8.4;1832192169000;12378;1.5;1.0;345.0;1.0;1.4;0.0
18h13m25s;48.35923;-4.55769;1036.9;12.0;;;;;;;72.70;9.4;1833233808000;14396;1.5;1.0;317.1;1.0;1.4;0.0
18h13m25s;48.35923;-4.55769;1035.9;12.0;;;;;;;73.25;10.0;1833858790000;13648;1.5;1.0;352.7;1.2;1.5;0.0
18h13m26s;48.35923;-4.55768;1036.2;12.0;;;;;;;74.35;11.1;1834900425000;14932;1.5;1.0;300.2;1.2;1.5;0.0
18h13m28s;48.35923;-4.55767;1036.3;12.0;;;;;;;75.45;12.1;1835942064000;23048;1.5;1.0;200.9;1.2;1.5;0.0
18h13m29s;48.35923;-4.55767;1036.3;12.0;;;;;;;73.25;13.2;1836983698000;18969;1.5;1.0;232.5;1.2;1.5;0.0
18h13m30s;48.35923;-4.55767;1040.7;12.0;;;;;;;73.80;14.2;1838025335000;41354;4.5;1.0;27.5;1.2;1.5;0.0
18h13m31s;48.35923;-4.55767;1066.0;12.0;;;;;;;73.25;15.2;1839066971000;41354;7.9;1.0;25.0;1.2;1.5;0.0
18h13m32s;48.35923;-4.55767;1103.1;11.9;;;;;;;75.45;16.3;1840108609000;41354;7.9;1.0;23.3;1.2;1.5;0.0
18h13m33s;48.35922;-4.55767;1132.5;11.8;;;;;;;73.25;17.3;1841150246000;41354;8.0;1.0;23.9;1.2;1.5;0.0
18h13m34s;48.35922;-4.55767;1155.5;11.7;;;;;;;73.25;18.4;1842191882000;41354;7.9;1.0;24.6;1.2;1.5;0.0
18h13m35s;48.35922;-4.55767;1176.9;11.5;;;;;;;74.90;19.4;1843233520000;41354;7.5;1.0;25.9;1.2;1.5;0.0
18h13m37s;;;1181.9;11.3;;;;;;;74.90;21.3;1845191796000;41354;5.9;1.0;32.6;3.1;2.7;0.0
18h13m38s;;;1190.0;11.3;;;;;;;75.45;22.4;1846233432000;41354;5.8;1.0;26.6;3.1;2.7;0.0
18h13m39s;;;1193.9;11.2;;;;;;;74.90;23.4;1847275068000;41354;9.8;1.0;17.2;3.1;2.7;0.0
18h13m40s;;;1193.9;11.1;;;;;;;74.35;24.5;1848316704000;41354;10.1;1.0;17.0;3.1;2.7;0.0
18h13m41s;;;1194.1;11.0;;;;;;;74.90;25.5;1849358342000;41354;10.2;1.0;16.8;3.1;2.7;0.0
18h13m42s;;;1193.9;11.0;;;;;;;75.45;26.6;1850399979000;41354;10.4;1.0;17.7;3.1;2.7;0.0
18h13m43s;;;1194.2;10.9;;;;;;;74.90;27.6;1851441616000;41354;10.9;1.0;16.0;3.1;2.7;0.0
18h13m44s;;;1194.1;10.9;;;;;;;74.90;28.7;1852483255000;41354;11.0;1.0;15.8;3.1;2.7;0.0
18h13m45s;;;1194.1;10.8;;;;;;;75.45;29.7;1853524894000;41354;11.1;1.0;15.6;3.1;2.7;0.0
