Heure;Event;Fichier
18h13m15s;START ENCODER;0017.h264
18h13m15s;START MOTEUR; 
18h13m25s;START AWB ALGO; 
18h13m25s;END AWB ALGO; 
18h13m35s;START AWB ALGO; 
18h13m37s;END AWB ALGO; 
18h13m46s;START AWB ALGO; 
18h13m47s;END AWB ALGO; 
18h13m56s;START AWB ALGO; 
18h13m56s;END AWB ALGO; 
18h14m06s;START AWB ALGO; 
18h14m06s;END AWB ALGO; 
18h14m15s;START AWB ALGO; 
18h14m15s;END AWB ALGO; 
18h14m25s;START AWB ALGO; 
18h14m25s;END AWB ALGO; 
18h14m34s;START AWB ALGO; 
18h14m34s;END AWB ALGO; 
18h14m44s;START AWB ALGO; 
18h14m44s;END AWB ALGO; 
18h14m53s;START AWB ALGO; 
18h14m53s;END AWB ALGO; 
18h15m03s;START AWB ALGO; 
18h15m03s;END AWB ALGO; 
18h15m12s;START AWB ALGO; 
18h15m13s;END AWB ALGO; 
18h15m22s;START AWB ALGO; 
18h15m22s;END AWB ALGO; 
18h15m32s;START AWB ALGO; 
18h15m32s;END AWB ALGO; 
18h15m41s;START AWB ALGO; 
18h15m41s;END AWB ALGO; 
18h15m51s;START AWB ALGO; 
18h15m51s;END AWB ALGO; 
18h16m00s;START AWB ALGO; 
18h16m00s;END AWB ALGO; 
18h16m10s;START AWB ALGO; 
18h16m10s;END AWB ALGO; 
18h16m19s;START AWB ALGO; 
18h16m19s;END AWB ALGO; 
18h16m29s;START AWB ALGO; 
18h16m29s;END AWB ALGO; 
18h16m38s;START AWB ALGO; 
18h16m38s;END AWB ALGO; 
18h16m48s;START AWB ALGO; 
18h16m48s;END AWB ALGO; 
18h16m57s;START AWB ALGO; 
18h16m59s;END AWB ALGO; 
18h17m08s;START AWB ALGO; 
18h17m09s;END AWB ALGO; 
18h17m18s;START AWB ALGO; 
18h17m19s;END AWB ALGO; 
18h17m28s;START AWB ALGO; 
18h17m28s;END AWB ALGO; 
18h17m31s; SORTIE BOUTON
18h17m31s;END MOTEUR; 
18h17m31s;END ENCODER;0017.h264
18h17m31s;START CONVERSION;0017.h264
18h17m32s;END CONVERSION;0017.mp4
