Heure;Event;Fichier
18h48m09s;START MOTEUR; 
18h48m09s;START ENCODER;0021.h264
18h48m19s;START AWB ALGO; 
18h48m19s;END AWB ALGO; 
18h48m28s;START AWB ALGO; 
18h48m29s;END AWB ALGO; 
18h48m38s;START AWB ALGO; 
18h48m40s;END AWB ALGO; 
18h48m49s;START AWB ALGO; 
18h48m49s;END AWB ALGO; 
18h48m59s;START AWB ALGO; 
18h48m59s;END AWB ALGO; 
18h49m09s;START AWB ALGO; 
18h49m09s;END AWB ALGO; 
18h49m18s;START AWB ALGO; 
18h49m20s;END AWB ALGO; 
18h49m30s;START AWB ALGO; 
18h49m30s;END AWB ALGO; 
18h49m40s;START AWB ALGO; 
18h49m40s;END AWB ALGO; 
18h49m49s;START AWB ALGO; 
18h49m49s;END AWB ALGO; 
18h49m59s;START AWB ALGO; 
18h49m59s;END AWB ALGO; 
18h50m08s;START AWB ALGO; 
18h50m09s;END AWB ALGO; 
18h50m18s;START AWB ALGO; 
18h50m18s;END AWB ALGO; 
18h50m28s;START AWB ALGO; 
18h50m28s;END AWB ALGO; 
18h50m37s;START AWB ALGO; 
18h50m37s;END AWB ALGO; 
18h50m47s;START AWB ALGO; 
18h50m47s;END AWB ALGO; 
18h50m56s;START AWB ALGO; 
18h50m56s;END AWB ALGO; 
18h51m06s;START AWB ALGO; 
18h51m06s;END AWB ALGO; 
18h51m15s;START AWB ALGO; 
18h51m15s;END AWB ALGO; 
18h51m25s;START AWB ALGO; 
18h51m25s;END AWB ALGO; 
18h51m34s;START AWB ALGO; 
18h51m34s;END AWB ALGO; 
18h51m44s;START AWB ALGO; 
18h51m44s;END AWB ALGO; 
18h51m53s;START AWB ALGO; 
18h51m53s;END AWB ALGO; 
18h52m03s;START AWB ALGO; 
18h52m03s;END AWB ALGO; 
18h52m12s;START AWB ALGO; 
18h52m13s;END AWB ALGO; 
18h52m22s;START AWB ALGO; 
18h52m22s;END AWB ALGO; 
18h52m32s;START AWB ALGO; 
18h52m33s;END AWB ALGO; 
18h52m42s;START AWB ALGO; 
18h52m43s;END AWB ALGO; 
18h52m52s;START AWB ALGO; 
18h52m52s;END AWB ALGO; 
18h53m02s;START AWB ALGO; 
18h53m02s;END AWB ALGO; 
18h53m11s;START AWB ALGO; 
18h53m11s;END AWB ALGO; 
18h53m21s;START AWB ALGO; 
18h53m21s;END AWB ALGO; 
18h53m24s; SORTIE BOUTON
18h53m24s;END MOTEUR; 
18h53m24s;END ENCODER;0021.h264
18h53m24s;START CONVERSION;0021.h264
18h53m25s;END CONVERSION;0021.mp4
