HMS;Lat;Long;Pression;TempC;RLux;GLux;BLux;XMagneto;YMagneto;ZMagneto;TempCPU;Delta(s);TStamp;ExpTime;AnG;DiG;Lux;RedG;BlueG;Bright
18h48m09s;48.35921;-4.55746;1032.3;11.8;;;;;;;69.40;0.0;3917803716000;35469;2.0;1.0;81.8;1.1;1.5;0.0
18h48m10s;48.35922;-4.55746;1032.3;11.9;;;;;;;72.15;1.1;3918845357000;37360;2.0;1.0;76.4;1.1;1.5;0.0
18h48m12s;48.35922;-4.55746;1032.4;11.9;;;;;;;72.15;2.1;3919928658000;34721;2.0;1.0;76.3;1.1;1.5;0.0
18h48m13s;48.35922;-4.55746;1031.9;11.9;;;;;;;73.80;3.2;3920970288000;33592;2.0;1.0;87.2;1.1;1.5;0.0
18h48m14s;48.35922;-4.55747;1032.6;11.9;;;;;;;73.80;4.2;3922011925000;30416;2.0;1.0;85.5;1.1;1.5;0.0
18h48m15s;48.35922;-4.55747;1032.1;11.9;;;;;;;72.70;5.3;3923053561000;16527;1.5;1.0;186.0;1.1;1.5;0.0
18h48m16s;48.35922;-4.55747;1032.4;11.9;;;;;;;72.70;6.3;3924095199000;21665;1.5;1.0;164.1;1.1;1.5;0.0
18h48m17s;48.35922;-4.55747;1032.4;11.9;;;;;;;74.90;7.3;3925136834000;20409;1.5;1.0;162.7;1.1;1.5;0.0
18h48m18s;48.35922;-4.55747;1032.5;11.9;;;;;;;73.25;8.4;3926178472000;23020;1.5;1.0;155.6;1.1;1.5;0.0
18h48m19s;48.35922;-4.55747;1032.3;11.9;;;;;;;74.35;9.4;3927220109000;23288;1.5;1.0;158.5;1.1;1.5;0.0
18h48m19s;48.35922;-4.55747;1032.3;12.0;;;;;;;74.35;9.6;3927345106000;23288;1.5;1.0;159.4;1.1;1.5;0.0
18h48m20s;48.35921;-4.55748;1032.7;11.9;;;;;;;73.80;10.6;3928428408000;24262;1.5;1.0;155.8;1.1;1.5;0.0
18h48m21s;48.35922;-4.55748;1031.8;12.0;;;;;;;72.70;11.7;3929470042000;24262;1.5;1.0;152.2;1.1;1.5;0.0
18h48m22s;48.35922;-4.55748;1032.6;12.0;;;;;;;74.35;12.7;3930511679000;24022;1.5;1.0;150.3;1.1;1.5;0.0
18h48m23s;48.35922;-4.55748;1032.4;12.0;;;;;;;72.15;13.8;3931553317000;23796;1.5;1.0;150.4;1.1;1.5;0.0
18h48m24s;48.35922;-4.55748;1032.4;12.0;;;;;;;74.90;14.8;3932594955000;23796;1.5;1.0;150.9;1.1;1.5;0.0
18h48m25s;48.35922;-4.55748;1032.8;12.0;;;;;;;74.90;15.8;3933636590000;33083;2.0;1.0;78.4;1.1;1.5;0.0
18h48m26s;48.35923;-4.55748;1032.4;12.0;;;;;;;73.80;16.9;3934678227000;41354;2.1;1.0;76.6;1.1;1.5;0.0
18h48m27s;48.35923;-4.55748;1032.6;12.0;;;;;;;75.45;17.9;3935719865000;41354;2.2;1.0;69.8;1.1;1.5;0.0
18h48m28s;48.35923;-4.55748;1032.5;12.0;;;;;;;75.45;19.0;3936761501000;41354;2.1;1.0;79.1;1.1;1.5;0.0
18h48m29s;48.35923;-4.55748;1032.4;12.0;;;;;;;75.45;19.6;3937386484000;41354;2.0;1.0;104.9;0.7;1.6;0.0
18h48m30s;48.35923;-4.55748;1032.4;12.0;;;;;;;74.90;20.6;3938428119000;34452;2.0;1.0;94.6;0.7;1.6;0.0
18h48m31s;48.35923;-4.55748;1032.8;12.0;;;;;;;77.10;21.7;3939469759000;34438;2.0;1.0;93.5;0.7;1.6;0.0
18h48m32s;48.35923;-4.55748;1032.3;12.1;;;;;;;74.35;22.7;3940511392000;34481;2.0;1.0;112.3;0.7;1.6;0.0
18h48m33s;48.35923;-4.55748;1032.7;12.1;;;;;;;74.90;23.8;3941553030000;30261;2.0;1.0;149.6;0.7;1.6;0.0
18h48m34s;48.35923;-4.55748;1032.4;12.1;;;;;;;74.90;24.8;3942594667000;22540;1.5;1.0;173.5;0.7;1.6;0.0
18h48m35s;48.35923;-4.55748;1032.7;12.1;;;;;;;73.80;25.9;3943636303000;23500;1.5;1.0;164.8;0.7;1.6;0.0
18h48m36s;48.35923;-4.55748;1031.8;12.1;;;;;;;76.00;26.9;3944719603000;29992;1.6;1.0;141.1;0.7;1.6;0.0
18h48m37s;48.35923;-4.55748;1032.4;12.1;;;;;;;74.90;28.0;3945761241000;33408;2.0;1.0;141.0;0.7;1.6;0.0
18h48m38s;48.35923;-4.55748;1032.0;12.1;;;;;;;75.45;29.0;3946802880000;22554;1.5;1.0;146.8;0.7;1.6;0.0
18h48m40s;48.35924;-4.55748;1032.2;12.1;;;;;;;75.45;30.5;3948302838000;22738;1.5;1.0;128.9;0.9;1.6;0.0
18h48m41s;48.35924;-4.55748;1032.5;12.1;;;;;;;74.90;31.6;3949344471000;25518;1.5;1.0;124.9;0.9;1.6;0.0
18h48m42s;48.35924;-4.55748;1033.0;12.1;;;;;;;74.90;32.6;3950386108000;26379;1.5;1.0;122.7;0.9;1.6;0.0
18h48m43s;48.35924;-4.55748;1032.2;12.1;;;;;;;76.00;33.6;3951427746000;23387;1.5;1.0;166.8;0.9;1.6;0.0
18h48m44s;48.35924;-4.55748;1032.4;12.1;;;;;;;74.90;34.7;3952469382000;23189;1.5;1.0;154.7;0.9;1.6;0.0
18h48m45s;48.35924;-4.55748;1032.2;12.1;;;;;;;76.00;35.7;3953552685000;22131;1.5;1.0;178.2;0.9;1.6;0.0
18h48m46s;48.35925;-4.55748;1032.2;12.1;;;;;;;75.45;36.8;3954594321000;22724;1.5;1.0;157.0;0.9;1.6;0.0
18h48m47s;48.35925;-4.55748;1032.7;12.1;;;;;;;76.00;37.8;3955635959000;20352;1.5;1.0;191.1;0.9;1.6;0.0
18h48m48s;48.35925;-4.55748;1032.4;12.2;;;;;;;75.45;38.9;3956677594000;17120;1.5;1.0;203.3;0.9;1.6;0.0
18h48m49s;48.35925;-4.55748;1032.2;12.2;;;;;;;76.00;39.9;3957719233000;16400;1.5;1.0;204.2;0.9;1.6;0.0
18h48m49s;48.35925;-4.55748;1032.2;12.2;;;;;;;76.00;40.1;3957844230000;16400;1.5;1.0;199.9;0.9;1.6;0.0
18h48m51s;48.35925;-4.55748;1032.4;12.2;;;;;;;74.35;41.1;3958927532000;17233;1.5;1.0;198.4;0.9;1.6;0.0
18h48m52s;48.35925;-4.55749;1032.3;12.2;;;;;;;74.90;42.2;3959969172000;17233;1.5;1.0;196.0;0.9;1.6;0.0
18h48m53s;48.35925;-4.55749;1031.8;12.2;;;;;;;75.45;43.2;3961010804000;17600;1.5;1.0;181.8;0.9;1.6;0.0
18h48m54s;48.35925;-4.55749;1032.0;12.2;;;;;;;76.55;44.2;3962052441000;19266;1.5;1.0;176.9;0.9;1.6;0.0
18h48m55s;48.35925;-4.55749;1031.9;12.2;;;;;;;74.90;45.3;3963094078000;16429;1.5;1.0;220.7;0.9;1.6;0.0
18h48m56s;48.35925;-4.55749;1032.3;12.2;;;;;;;75.45;46.3;3964135715000;15271;1.5;1.0;238.6;0.9;1.6;0.0
18h48m57s;48.35925;-4.55748;1031.9;12.2;;;;;;;76.00;47.4;3965177353000;15144;1.5;1.0;241.8;0.9;1.6;0.0
18h48m58s;48.35925;-4.55748;1032.4;12.2;;;;;;;74.90;48.4;3966218989000;15003;1.5;1.0;244.3;0.9;1.6;0.0
18h48m59s;48.35925;-4.55748;1032.8;12.2;;;;;;;75.45;49.5;3967260627000;15003;1.5;1.0;240.1;0.9;1.6;0.0
18h48m59s;48.35925;-4.55748;1032.2;12.2;;;;;;;75.45;50.1;3967843945000;15003;1.5;1.0;237.8;1.1;1.7;0.0
18h49m00s;48.35925;-4.55748;1032.2;12.3;;;;;;;76.55;51.1;3968885580000;15003;1.5;1.0;237.6;1.1;1.7;0.0
18h49m02s;48.35925;-4.55748;1032.2;12.3;;;;;;;76.00;52.1;3969927217000;15299;1.5;1.0;207.7;1.1;1.7;0.0
18h49m03s;48.35925;-4.55748;1032.6;12.3;;;;;;;77.10;53.2;3970968855000;9992;1.5;1.0;718.6;1.1;1.7;0.0
18h49m04s;48.35925;-4.55748;1032.2;12.3;;;;;;;76.55;54.2;3972010490000;12604;1.5;1.0;350.0;1.1;1.7;0.0
18h49m05s;48.35925;-4.55748;1032.0;12.3;;;;;;;75.45;55.3;3973093793000;9992;1.3;1.0;568.7;1.1;1.7;0.0
18h49m06s;48.35925;-4.55748;1032.4;12.3;;;;;;;76.55;56.3;3974135429000;9992;1.0;1.0;524.6;1.1;1.7;0.0
18h49m07s;48.35925;-4.55747;1032.5;12.3;;;;;;;74.90;57.4;3975177066000;9992;1.3;1.0;422.6;1.1;1.7;0.0
18h49m08s;48.35925;-4.55746;1032.6;12.3;;;;;;;76.55;58.4;3976218703000;13098;1.5;1.0;314.4;1.1;1.7;0.0
18h49m09s;48.35925;-4.55745;1031.8;12.3;;;;;;;76.55;59.5;3977260342000;13098;1.5;1.0;314.5;1.1;1.7;0.0
18h49m09s;48.35925;-4.55745;1031.9;12.4;;;;;;;75.45;59.6;3977385338000;13098;1.5;1.0;314.3;1.1;1.7;0.0
18h49m10s;48.35925;-4.55745;1032.2;12.3;;;;;;;77.10;60.6;3978426973000;15229;1.5;1.0;278.4;1.1;1.7;0.0
18h49m11s;48.35925;-4.55745;1032.1;12.3;;;;;;;76.55;61.7;3979510281000;16683;1.5;1.0;270.6;1.1;1.7;0.0
18h49m12s;48.35925;-4.55744;1032.6;12.4;;;;;;;76.00;62.8;3980551915000;29992;1.5;1.0;152.1;1.1;1.7;0.0
18h49m13s;48.35925;-4.55744;1038.6;12.4;;;;;;;77.65;63.8;3981593552000;35934;2.0;1.0;27.1;1.1;1.7;0.0
18h49m14s;48.35925;-4.55744;1043.7;12.3;;;;;;;76.00;64.8;3982635189000;41354;9.1;1.0;22.3;1.1;1.7;0.0
18h49m15s;48.35925;-4.55744;1066.3;12.3;;;;;;;77.10;65.9;3983676825000;41354;10.3;1.0;20.5;1.1;1.7;0.0
18h49m16s;48.35925;-4.55744;1102.0;12.1;;;;;;;76.00;66.9;3984718462000;41354;9.8;1.0;19.8;1.1;1.7;0.0
18h49m17s;48.35925;-4.55745;1125.0;12.0;;;;;;;75.45;68.0;3985801764000;41354;10.4;1.0;18.9;1.1;1.7;0.0
18h49m18s;48.35924;-4.55746;1136.2;11.8;;;;;;;76.00;69.0;3986843400000;41354;10.3;1.0;19.4;1.1;1.7;0.0
18h49m20s;48.35924;-4.55749;1144.8;11.6;;;;;;;77.10;71.0;3988801680000;41354;7.4;1.0;27.2;3.1;2.8;0.0
18h49m21s;;;1162.8;11.4;;;;;;;76.55;72.1;3989843314000;41354;6.9;1.0;27.8;3.1;2.8;0.0
18h49m22s;;;1171.1;11.3;;;;;;;76.00;73.1;3990884952000;41354;7.1;1.0;27.3;3.1;2.8;0.0
18h49m24s;;;1182.7;11.2;;;;;;;76.55;74.1;3991926588000;41354;6.6;1.0;27.6;3.1;2.8;0.0
18h49m25s;;;1190.8;11.2;;;;;;;76.00;75.2;3993009891000;41354;7.2;1.0;21.4;3.1;2.8;0.0
