HMS;Lat;Long;Pression;TempC;RLux;GLux;BLux;XMagneto;YMagneto;ZMagneto;TempCPU;Delta(s);TStamp;ExpTime;AnG;DiG;Lux;RedG;BlueG;Bright
17h10m19s;;;1030.7;12.1;;;;;;;64.45;0.0;2606928477000;41354;3.1;1.0;37.5;0.8;1.6;0.0
17h10m20s;;;1030.6;12.1;;;;;;;67.75;1.0;2607970115000;41354;3.1;1.0;37.8;0.8;1.6;0.0
17h10m21s;;;1030.5;12.1;;;;;;;68.85;2.1;2609011749000;41354;2.6;1.0;56.1;0.8;1.6;0.0
17h10m22s;;;1030.7;12.1;;;;;;;67.20;3.1;2610053383000;39943;2.0;1.0;85.9;0.8;1.6;0.0
17h10m23s;;;1030.8;12.1;;;;;;;68.30;4.2;2611095017000;16527;1.5;1.0;218.3;0.8;1.6;0.0
17h10m24s;;;1030.5;12.1;;;;;;;69.95;5.2;2612178318000;21919;1.5;1.0;174.2;0.8;1.6;0.0
17h10m25s;;;1030.4;12.1;;;;;;;69.40;6.3;2613219955000;21100;1.5;1.0;203.4;0.8;1.6;0.0
17h10m26s;;;1031.1;12.1;;;;;;;69.95;7.3;2614261589000;20479;1.5;1.0;198.4;0.8;1.6;0.0
17h10m27s;;;1030.4;12.2;;;;;;;69.40;8.4;2615303224000;24728;1.5;1.0;147.2;0.8;1.6;0.0
17h10m28s;;;1030.9;12.2;;;;;;;69.95;9.4;2616344860000;29992;1.7;1.0;142.8;0.8;1.6;0.0
17h10m29s;;;1030.6;12.2;;;;;;;68.85;10.0;2616928177000;29682;1.5;1.0;133.2;1.2;1.8;0.0
17h10m30s;;;1030.7;12.2;;;;;;;69.95;11.1;2618011477000;29992;1.8;1.0;109.0;1.2;1.8;0.0
17h10m31s;;;1030.7;12.2;;;;;;;68.85;12.1;2619053112000;34932;2.0;1.0;99.6;1.2;1.8;0.0
17h10m32s;;;1035.8;12.2;;;;;;;69.95;13.2;2620094748000;41354;8.9;1.0;14.9;1.2;1.8;0.0
17h10m33s;;;1053.7;12.1;;;;;;;69.95;14.2;2621136382000;41354;15.3;1.0;15.0;1.2;1.8;0.0
17h10m34s;;;1085.9;12.0;;;;;;;69.40;15.3;2622178018000;41354;14.6;1.0;13.9;1.2;1.8;0.0
17h10m35s;;;1120.6;11.9;;;;;;;70.50;16.3;2623219656000;41354;15.8;1.0;12.3;1.2;1.8;0.0
17h10m36s;;;1158.0;11.8;;;;;;;69.95;17.3;2624261290000;41354;15.8;1.0;11.4;1.2;1.8;0.0
17h10m37s;;;1162.6;11.6;;;;;;;71.05;18.4;2625302926000;41354;15.8;1.0;11.8;1.2;1.8;0.0
17h10m38s;;;1165.9;11.5;;;;;;;69.95;19.4;2626344560000;41354;15.8;1.0;12.8;1.2;1.8;0.0
17h10m40s;;;1187.2;11.3;;;;;;;69.95;21.3;2628261173000;41354;13.1;1.0;10.9;3.0;3.1;0.0
17h10m41s;;;1189.3;11.3;;;;;;;69.95;22.4;2629344470000;41354;15.8;1.0;9.2;3.0;3.1;0.0
17h10m42s;;;1187.8;11.2;;;;;;;70.50;23.5;2630386107000;41354;13.5;1.0;11.4;3.0;3.1;0.0
17h10m43s;;;1188.4;11.1;;;;;;;71.60;24.5;2631427746000;41354;15.8;1.0;10.9;3.0;3.1;0.0
17h10m44s;;;1189.6;11.1;;;;;;;71.05;25.5;2632469377000;41354;15.5;1.0;9.4;3.0;3.1;0.0
17h10m45s;;;1189.1;11.0;;;;;;;69.95;26.6;2633511015000;41354;15.5;1.0;10.3;3.0;3.1;0.0
17h10m46s;;;1187.4;11.0;;;;;;;71.05;27.6;2634552649000;41354;13.0;1.0;12.8;3.0;3.1;0.0
17h10m47s;;;1187.8;11.0;;;;;;;69.40;28.7;2635594285000;41354;12.6;1.0;12.7;3.0;3.1;0.0
17h10m49s;;;1189.5;10.9;;;;;;;69.95;29.7;2636635920000;41354;15.5;1.0;9.8;3.0;3.1;0.0
17h10m50s;;;1189.9;10.9;;;;;;;69.40;30.8;2637677556000;41354;15.8;1.0;9.6;3.0;3.1;0.0
17h10m50s;;;1189.4;10.9;;;;;;;71.05;30.9;2637802553000;41354;15.8;1.0;9.6;3.0;3.1;0.0
17h10m51s;;;1189.8;10.8;;;;;;;71.05;31.9;2638885853000;41354;15.8;1.0;9.7;3.0;3.1;0.0
17h10m52s;;;1189.8;10.8;;;;;;;69.95;33.0;2639927486000;41354;15.8;1.0;9.7;3.0;3.1;0.0
17h10m53s;;;1189.9;10.8;;;;;;;71.05;34.0;2640969123000;41354;15.8;1.0;9.8;3.0;3.1;0.0
17h10m54s;;;1189.6;10.8;;;;;;;70.50;35.1;2642010759000;41354;15.8;1.0;9.8;3.0;3.1;0.0
17h10m55s;;;1189.7;10.7;;;;;;;69.95;36.1;2643052393000;41354;15.8;1.0;9.8;3.0;3.1;0.0
17h10m56s;;;1189.8;10.7;;;;;;;69.40;37.2;2644094029000;41354;15.8;1.0;9.8;3.0;3.1;0.0
17h10m57s;;;1189.6;10.7;;;;;;;70.50;38.2;2645135664000;41354;15.8;1.0;9.8;3.0;3.1;0.0
17h10m58s;;;1189.5;10.7;;;;;;;69.95;39.3;2646177300000;41354;15.8;1.0;9.8;3.0;3.1;0.0
17h10m59s;;;1190.3;10.7;;;;;;;70.50;40.3;2647218934000;41354;15.8;1.0;9.9;3.0;3.1;0.0
17h10m59s;;;1189.6;10.7;;;;;;;69.95;40.4;2647343933000;41354;15.8;1.0;9.9;3.0;3.1;0.0
17h11m00s;;;1189.7;10.7;;;;;;;69.40;41.5;2648385569000;41354;15.8;1.0;9.8;3.0;3.1;0.0
17h11m01s;;;1189.7;10.7;;;;;;;71.05;42.5;2649468869000;41354;15.8;1.0;9.7;3.0;3.1;0.0
17h11m02s;;;1189.8;10.6;;;;;;;70.50;43.6;2650510503000;41354;15.8;1.0;9.9;3.0;3.1;0.0
17h11m03s;;;1189.9;10.6;;;;;;;72.15;44.6;2651552139000;41354;15.8;1.0;11.4;3.0;3.1;0.0
17h11m04s;;;1189.4;10.6;;;;;;;71.05;45.7;2652593774000;41354;14.0;1.0;12.8;3.0;3.1;0.0
17h11m05s;;;1189.6;10.6;;;;;;;71.05;46.7;2653635412000;41354;13.0;1.0;13.8;3.0;3.1;0.0
17h11m07s;;;1189.5;10.6;;;;;;;69.95;47.7;2654677046000;41354;11.8;1.0;15.1;3.0;3.1;0.0
17h11m08s;;;1189.6;10.6;;;;;;;71.60;48.8;2655718681000;41354;11.8;1.0;16.7;3.0;3.1;0.0
17h11m09s;;;1190.0;10.6;;;;;;;71.60;49.8;2656760317000;41354;11.6;1.0;17.7;3.0;3.1;0.0
17h11m09s;;;1189.6;10.7;;;;;;;70.50;50.0;2656885313000;41354;11.6;1.0;17.8;3.0;3.1;0.0
17h11m10s;;;1189.9;10.6;;;;;;;70.50;51.0;2657926950000;41354;11.6;1.0;18.3;3.0;3.1;0.0
17h11m11s;;;1189.9;10.6;;;;;;;71.05;52.1;2658968585000;41354;11.6;1.0;18.7;3.0;3.1;0.0
17h11m12s;;;1189.7;10.6;;;;;;;69.40;53.1;2660051884000;41354;11.6;1.0;19.0;3.0;3.1;0.0
17h11m13s;;;1189.9;10.6;;;;;;;69.95;54.2;2661093519000;41354;11.6;1.0;18.9;3.0;3.1;0.0
17h11m14s;;;1189.9;10.6;;;;;;;71.60;55.2;2662135155000;41354;11.6;1.0;18.9;3.0;3.1;0.0
17h11m15s;;;1189.9;10.6;;;;;;;69.40;56.2;2663176791000;41354;11.6;1.0;18.9;3.0;3.1;0.0
17h11m16s;;;1189.7;10.6;;;;;;;69.95;57.3;2664218428000;41354;11.6;1.0;18.8;3.0;3.1;0.0
