Heure;Event;Fichier
17h10m19s;START ENCODER;0011.h264
17h10m19s;START MOTEUR; 
17h10m28s;START AWB ALGO; 
17h10m29s;END AWB ALGO; 
17h10m38s;START AWB ALGO; 
17h10m40s;END AWB ALGO; 
17h10m50s;START AWB ALGO; 
17h10m50s;END AWB ALGO; 
17h10m59s;START AWB ALGO; 
17h10m59s;END AWB ALGO; 
17h11m09s;START AWB ALGO; 
17h11m09s;END AWB ALGO; 
17h11m18s;START AWB ALGO; 
17h11m18s;END AWB ALGO; 
17h11m28s;START AWB ALGO; 
17h11m28s;END AWB ALGO; 
17h11m37s;START AWB ALGO; 
17h11m37s;END AWB ALGO; 
17h11m47s;START AWB ALGO; 
17h11m47s;END AWB ALGO; 
17h11m56s;START AWB ALGO; 
17h11m56s;END AWB ALGO; 
17h12m06s;START AWB ALGO; 
17h12m06s;END AWB ALGO; 
17h12m15s;START AWB ALGO; 
17h12m15s;END AWB ALGO; 
17h12m25s;START AWB ALGO; 
17h12m25s;END AWB ALGO; 
17h12m34s;START AWB ALGO; 
17h12m35s;END AWB ALGO; 
17h12m44s;START AWB ALGO; 
17h12m44s;END AWB ALGO; 
17h12m54s;START AWB ALGO; 
17h12m54s;END AWB ALGO; 
17h13m03s;START AWB ALGO; 
17h13m03s;END AWB ALGO; 
17h13m13s;START AWB ALGO; 
17h13m13s;END AWB ALGO; 
17h13m23s;START AWB ALGO; 
17h13m24s;END AWB ALGO; 
17h13m34s;START AWB ALGO; 
17h13m34s;END AWB ALGO; 
17h13m44s;START AWB ALGO; 
17h13m44s;END AWB ALGO; 
17h13m49s; SORTIE BOUTON
17h13m49s;END MOTEUR; 
17h13m49s;END ENCODER;0011.h264
17h13m49s;START CONVERSION;0011.h264
17h13m50s;END CONVERSION;0011.mp4
