Heure;Event;Fichier
15h52m35s;START ENCODER;0046.h264
15h52m44s;START AWB ALGO; 
15h52m44s;END AWB ALGO; 
15h52m54s;START AWB ALGO; 
15h52m59s;END AWB ALGO; 
15h53m08s;START AWB ALGO; 
15h53m13s;END AWB ALGO; 
15h53m23s;START AWB ALGO; 
15h53m28s;END AWB ALGO; 
15h53m37s;START AWB ALGO; 
15h53m42s;END AWB ALGO; 
15h53m52s;START AWB ALGO; 
15h53m57s;END AWB ALGO; 
15h54m06s;START AWB ALGO; 
15h54m11s;END AWB ALGO; 
15h54m21s;START AWB ALGO; 
15h54m26s;END AWB ALGO; 
15h54m36s;START AWB ALGO; 
15h54m41s;END AWB ALGO; 
15h54m50s;START AWB ALGO; 
15h54m55s;END AWB ALGO; 
15h55m05s;START AWB ALGO; 
15h55m10s;END AWB ALGO; 
15h55m19s;START AWB ALGO; 
15h55m25s;END AWB ALGO; 
15h55m34s;START AWB ALGO; 
15h55m39s;END AWB ALGO; 
15h55m49s;START AWB ALGO; 
15h55m54s;END AWB ALGO; 
15h56m03s;START AWB ALGO; 
15h56m08s;END AWB ALGO; 
15h56m18s;START AWB ALGO; 
15h56m23s;END AWB ALGO; 
15h56m32s;START AWB ALGO; 
15h56m38s;END AWB ALGO; 
15h56m47s;START AWB ALGO; 
15h56m49s;END AWB ALGO; 
15h56m58s;START AWB ALGO; 
15h57m03s;END AWB ALGO; 
15h57m13s;START AWB ALGO; 
15h57m14s;END AWB ALGO; 
15h57m23s;START AWB ALGO; 
15h57m23s;END AWB ALGO; 
15h57m25s; SORTIE BOUTON
15h57m25s;END ENCODER;0046.h264
15h57m25s;START CONVERSION;0046.h264
15h57m28s;END CONVERSION;0046.mp4
