HMS;Lat;Long;Pression;TempC;RLux;GLux;BLux;XMagneto;YMagneto;ZMagneto;TempCPU;Delta(s);TStamp;ExpTime;AnG;DiG;Lux;RedG;BlueG;Bright;TStamp2;ExpTime2;AnG2;DiG2;Lux2;RedG2;BlueG2;Bright2
15h52m35s;48.41928;-4.46934;1003.1;21.7;823;1338;894;;;;69.40;0.0;4068978264000;1673;1.0;1.0;1808.8;1.4;1.7;0.0;4068973075000;1510;1.0;1.0;2041.2;1.4;1.7;0.0
15h52m36s;48.41928;-4.46934;1002.9;21.7;818;1330;886;;;;71.60;1.1;4070019758000;1673;1.0;1.0;1786.4;1.4;1.7;0.0;4070014566000;1525;1.0;1.0;1994.0;1.4;1.7;0.0
15h52m37s;48.41928;-4.46934;1003.3;21.7;807;1316;878;;;;73.25;2.1;4071061254000;1703;1.0;1.0;1723.3;1.4;1.7;0.0;4071056056000;1569;1.0;1.0;1870.8;1.4;1.7;0.0
15h52m38s;48.41928;-4.46934;1003.1;21.7;808;1316;878;;;;73.80;3.1;4072102750000;1732;1.0;1.0;1713.6;1.4;1.7;0.0;4072097547000;1614;1.0;1.0;1890.1;1.4;1.7;0.0
15h52m39s;48.41928;-4.46934;1002.8;21.7;809;1317;880;;;;74.90;4.2;4073144247000;1732;1.0;1.0;1730.8;1.4;1.7;0.0;4073180697000;1614;1.0;1.0;1905.3;1.4;1.7;0.0
15h52m40s;48.41928;-4.46934;1003.7;21.7;804;1308;875;;;;73.80;5.2;4074227403000;1732;1.0;1.0;1722.4;1.4;1.7;0.0;4074222189000;1614;1.0;1.0;1890.3;1.4;1.7;0.0
15h52m41s;48.41928;-4.46934;1003.1;21.7;790;1285;857;;;;75.45;6.3;4075268897000;1792;1.0;1.0;1678.6;1.4;1.7;0.0;4075263684000;1658;1.0;1.0;1843.4;1.4;1.7;0.0
15h52m42s;48.41928;-4.46934;1002.9;21.7;794;1285;858;;;;76.55;7.3;4076310393000;1806;1.0;1.0;1699.0;1.4;1.7;0.0;4076305173000;1658;1.0;1.0;1856.5;1.4;1.7;0.0
15h52m43s;48.41928;-4.46934;1003.6;21.7;789;1283;856;;;;77.10;8.4;4077351892000;1806;1.0;1.0;1721.3;1.4;1.7;0.0;4077346664000;1658;1.0;1.0;1874.0;1.4;1.7;0.0
15h52m44s;48.41928;-4.46934;1002.9;21.7;782;1276;853;;;;76.00;9.4;4078393385000;1777;1.0;1.0;1727.1;1.4;1.7;0.0;4078388154000;1643;1.0;1.0;1882.1;1.4;1.7;0.0
15h52m44s;48.41928;-4.46934;1003.4;21.7;782;1274;853;;;;77.65;9.6;4078518365000;1777;1.0;1.0;1730.8;1.4;1.7;0.0;4078513135000;1643;1.0;1.0;1879.5;1.4;1.7;0.0
15h52m45s;48.41928;-4.46934;1003.0;21.7;995;1462;919;;;;78.20;10.6;4079601522000;1480;1.0;1.0;2360.5;1.4;1.7;0.0;4079596284000;1347;1.0;1.0;2609.1;1.4;1.7;0.0
15h52m46s;48.41928;-4.46934;1002.4;21.7;1005;1502;1036;;;;78.20;11.7;4080643018000;1273;1.0;1.0;2456.5;1.4;1.7;0.0;4080637776000;1155;1.0;1.0;2725.4;1.4;1.7;0.0
