HMS;Lat;Long;Pression;TempC;RLux;GLux;BLux;XMagneto;YMagneto;ZMagneto;TempCPU;Delta(s);TStamp;ExpTime;AnG;DiG;Lux;RedG;BlueG;Bright
16h33m57s;;;1032.7;13.4;;;;;;;52.90;0.0;425472314000;31079;2.0;1.0;88.2;1.1;1.6;0.0
16h33m58s;;;1033.0;13.4;;;;;;;55.10;1.1;426555611000;41354;2.1;1.0;85.6;1.1;1.6;0.0
16h33m59s;;;1032.4;13.4;;;;;;;55.65;2.1;427597245000;36894;2.0;1.0;86.7;1.1;1.6;0.0
16h34m00s;;;1032.5;13.4;;;;;;;56.20;3.2;428638879000;40070;2.0;1.0;80.7;1.1;1.6;0.0
16h34m02s;;;1032.7;13.4;;;;;;;55.65;4.2;429680514000;40818;2.0;1.0;78.9;1.1;1.6;0.0
16h34m03s;;;1032.5;13.4;;;;;;;55.65;5.3;430722147000;40818;2.0;1.0;79.5;1.1;1.6;0.0
16h34m04s;;;1033.0;13.4;;;;;;;56.75;6.3;431763783000;40818;2.0;1.0;80.3;1.1;1.6;0.0
16h34m05s;;;1032.8;13.4;;;;;;;56.75;7.4;432805418000;37882;2.0;1.0;95.1;1.1;1.6;0.0
16h34m06s;;;1033.0;13.4;;;;;;;56.75;8.4;433847052000;29992;2.0;1.0;114.9;1.1;1.6;0.0
16h34m07s;;;1032.3;13.4;;;;;;;57.85;9.4;434888685000;39181;2.0;1.0;82.5;1.1;1.6;0.0
16h34m07s;;;1032.7;13.5;;;;;;;57.30;9.6;435013682000;39181;2.0;1.0;82.9;1.1;1.6;0.0
16h34m08s;;;1031.9;13.4;;;;;;;57.30;10.6;436055315000;39181;2.0;1.0;83.6;1.1;1.6;0.0
16h34m09s;;;1032.6;13.4;;;;;;;57.85;11.7;437138613000;39181;2.0;1.0;83.8;1.1;1.6;0.0
16h34m10s;;;1032.9;13.4;;;;;;;57.30;12.7;438180248000;38828;2.0;1.0;84.2;1.1;1.6;0.0
16h34m11s;;;1032.5;13.4;;;;;;;58.40;13.8;439221881000;38475;2.0;1.0;84.9;1.1;1.6;0.0
16h34m12s;;;1033.1;13.4;;;;;;;56.20;14.8;440263515000;38475;2.0;1.0;84.1;1.1;1.6;0.0
16h34m13s;;;1032.1;13.4;;;;;;;57.85;15.8;441305149000;34438;2.0;1.0;94.9;1.1;1.6;0.0
16h34m14s;;;1032.6;13.4;;;;;;;56.20;16.9;442346783000;34452;2.0;1.0;94.9;1.1;1.6;0.0
16h34m15s;;;1032.7;13.4;;;;;;;56.75;17.9;443388418000;39124;2.0;1.0;67.5;1.1;1.6;0.0
16h34m16s;;;1033.0;13.4;;;;;;;57.30;19.0;444430050000;41354;2.3;1.0;62.3;1.1;1.6;0.0
16h34m16s;;;1032.0;13.5;;;;;;;57.30;19.1;444555048000;41354;2.2;1.0;63.3;1.1;1.6;0.0
16h34m17s;;;1032.5;13.4;;;;;;;57.30;20.2;445596683000;41354;2.1;1.0;70.3;1.1;1.6;0.0
16h34m19s;;;1032.4;13.4;;;;;;;57.30;21.2;446679982000;41354;2.0;1.0;72.7;1.1;1.6;0.0
16h34m20s;;;1032.5;13.4;;;;;;;58.40;22.3;447721614000;41354;2.0;1.0;72.4;1.1;1.6;0.0
16h34m21s;;;1032.6;13.4;;;;;;;56.75;23.3;448763248000;41354;2.0;1.0;70.1;1.1;1.6;0.0
16h34m22s;;;1032.5;13.4;;;;;;;57.30;24.3;449804882000;41354;2.3;1.0;55.2;1.1;1.6;0.0
16h34m23s;;;1032.3;13.4;;;;;;;57.85;25.4;450846518000;41354;2.3;1.0;57.8;1.1;1.6;0.0
16h34m24s;;;1032.4;13.4;;;;;;;57.85;26.4;451888153000;41354;2.2;1.0;64.5;1.1;1.6;0.0
16h34m25s;;;1032.6;13.4;;;;;;;57.85;27.5;452929785000;41354;2.0;1.0;77.0;1.1;1.6;0.0
16h34m26s;;;1032.6;13.5;;;;;;;58.95;28.5;453971421000;38983;2.0;1.0;84.1;1.1;1.6;0.0
16h34m26s;;;1032.4;13.5;;;;;;;57.85;28.7;454138080000;38207;2.0;1.0;86.2;1.1;1.6;0.0
16h34m27s;;;1032.5;13.5;;;;;;;59.50;29.7;455179716000;37840;2.0;1.0;78.6;1.1;1.6;0.0
16h34m28s;;;1032.3;13.5;;;;;;;57.85;30.8;456221348000;34269;2.0;1.0;160.7;1.1;1.6;0.0
16h34m29s;;;1032.3;13.5;;;;;;;58.40;31.8;457262982000;20917;1.5;1.0;161.0;1.1;1.6;0.0
16h34m30s;;;1032.4;13.5;;;;;;;59.50;32.8;458304616000;25702;1.5;1.0;153.9;1.1;1.6;0.0
16h34m31s;;;1032.7;13.5;;;;;;;59.50;33.9;459346251000;21213;1.5;1.0;192.0;1.1;1.6;0.0
16h34m32s;;;1032.4;13.5;;;;;;;58.95;34.9;460387884000;22244;1.5;1.0;183.7;1.1;1.6;0.0
16h34m33s;;;1032.2;13.5;;;;;;;58.40;36.0;461429518000;27635;1.5;1.0;147.1;1.1;1.6;0.0
16h34m34s;;;1032.1;13.5;;;;;;;60.05;37.0;462471154000;29992;1.5;1.0;148.7;1.1;1.6;0.0
16h34m35s;;;1032.4;13.5;;;;;;;58.40;38.1;463512788000;28948;1.5;1.0;157.3;1.1;1.6;0.0
16h34m36s;;;1032.4;13.5;;;;;;;60.60;38.7;464096121000;26210;1.5;1.0;162.0;1.2;1.8;0.0
16h34m37s;;;1032.7;13.5;;;;;;;58.95;39.7;465179400000;26040;1.5;1.0;168.3;1.2;1.8;0.0
16h34m38s;;;1032.9;13.5;;;;;;;58.95;40.8;466221034000;23966;1.5;1.0;159.3;1.2;1.8;0.0
16h34m39s;;;1032.5;13.5;;;;;;;58.95;41.8;467262669000;23768;1.5;1.0;146.7;1.2;1.8;0.0
16h34m40s;;;1032.8;13.5;;;;;;;57.85;42.8;468304302000;26280;1.5;1.0;140.2;1.2;1.8;0.0
16h34m41s;;;1046.3;13.5;;;;;;;59.50;43.9;469345936000;41354;11.1;1.0;18.7;1.2;1.8;0.0
16h34m42s;;;1088.0;13.4;;;;;;;58.95;44.9;470387570000;41354;15.1;1.0;13.8;1.2;1.8;0.0
16h34m43s;;;1128.1;13.1;;;;;;;58.40;46.0;471429206000;41354;15.5;1.0;12.5;1.2;1.8;0.0
16h34m44s;;;1157.1;12.8;;;;;;;59.50;47.0;472470840000;41354;15.5;1.0;13.4;1.2;1.8;0.0
