Heure;Event;Fichier
16h46m07s;START ENCODER;0009.h264
16h46m07s;START MOTEUR; 
16h46m16s;START AWB ALGO; 
16h46m16s;END AWB ALGO; 
16h46m26s;START AWB ALGO; 
16h46m26s;END AWB ALGO; 
16h46m35s;START AWB ALGO; 
16h46m35s;END AWB ALGO; 
16h46m45s;START AWB ALGO; 
16h46m47s;END AWB ALGO; 
16h46m57s;START AWB ALGO; 
16h46m57s;END AWB ALGO; 
16h47m06s;START AWB ALGO; 
16h47m06s;END AWB ALGO; 
16h47m16s;START AWB ALGO; 
16h47m16s;END AWB ALGO; 
16h47m25s;START AWB ALGO; 
16h47m25s;END AWB ALGO; 
16h47m35s;START AWB ALGO; 
16h47m35s;END AWB ALGO; 
16h47m44s;START AWB ALGO; 
16h47m44s;END AWB ALGO; 
16h47m54s;START AWB ALGO; 
16h47m54s;END AWB ALGO; 
16h48m03s;START AWB ALGO; 
16h48m04s;END AWB ALGO; 
16h48m13s;START AWB ALGO; 
16h48m13s;END AWB ALGO; 
16h48m23s;START AWB ALGO; 
16h48m23s;END AWB ALGO; 
16h48m32s;START AWB ALGO; 
16h48m32s;END AWB ALGO; 
16h48m42s;START AWB ALGO; 
16h48m42s;END AWB ALGO; 
16h48m51s;START AWB ALGO; 
16h48m51s;END AWB ALGO; 
16h49m01s;START AWB ALGO; 
16h49m01s;END AWB ALGO; 
16h49m10s;START AWB ALGO; 
16h49m10s;END AWB ALGO; 
16h49m20s;START AWB ALGO; 
16h49m20s;END AWB ALGO; 
16h49m29s;START AWB ALGO; 
16h49m29s;END AWB ALGO; 
16h49m39s;START AWB ALGO; 
16h49m39s;END AWB ALGO; 
16h49m48s;START AWB ALGO; 
16h49m48s;END AWB ALGO; 
16h49m58s;START AWB ALGO; 
16h49m58s;END AWB ALGO; 
16h50m08s;START AWB ALGO; 
16h50m08s;END AWB ALGO; 
16h50m17s;START AWB ALGO; 
16h50m17s;END AWB ALGO; 
16h50m27s;START AWB ALGO; 
16h50m27s;END AWB ALGO; 
16h50m36s;START AWB ALGO; 
16h50m36s;END AWB ALGO; 
16h50m46s;START AWB ALGO; 
16h50m46s;END AWB ALGO; 
16h50m55s;START AWB ALGO; 
16h50m55s;END AWB ALGO; 
16h51m05s;START AWB ALGO; 
16h51m05s;END AWB ALGO; 
16h51m14s;START AWB ALGO; 
16h51m14s;END AWB ALGO; 
16h51m24s;START AWB ALGO; 
16h51m24s;END AWB ALGO; 
16h51m33s;START AWB ALGO; 
16h51m35s;END AWB ALGO; 
16h51m44s;START AWB ALGO; 
16h51m44s;END AWB ALGO; 
16h51m54s;START AWB ALGO; 
16h51m54s;END AWB ALGO; 
16h52m02s; SORTIE BOUTON
16h52m02s;END ENCODER;0009.h264
16h52m02s;START CONVERSION;0009.h264
16h52m03s;END MOTEUR; 
16h52m03s;END CONVERSION;0009.mp4
