HMS;Lat;Long;Pression;TempC;RLux;GLux;BLux;XMagneto;YMagneto;ZMagneto;TempCPU;Delta(s);TStamp;ExpTime;AnG;DiG;Lux;RedG;BlueG;Bright
16h46m07s;;;1032.3;12.1;;;;;;;61.70;0.0;1154816422000;29992;1.6;1.0;121.8;1.2;1.6;0.0
16h46m08s;;;1032.6;12.1;;;;;;;62.25;1.0;1155858054000;29992;1.6;1.0;121.8;1.2;1.6;0.0
16h46m09s;;;1032.0;12.1;;;;;;;63.35;2.1;1156941356000;29992;1.6;1.0;122.0;1.2;1.6;0.0
16h46m10s;;;1032.7;12.1;;;;;;;63.90;3.1;1157982988000;29992;1.6;1.0;122.8;1.2;1.6;0.0
16h46m11s;;;1032.5;12.2;;;;;;;65.00;4.2;1159024622000;29964;1.5;1.0;135.9;1.2;1.6;0.0
16h46m12s;;;1032.5;12.2;;;;;;;65.00;5.2;1160066262000;29696;1.5;1.0;130.6;1.2;1.6;0.0
16h46m13s;;;1032.3;12.2;;;;;;;66.10;6.3;1161107896000;29724;1.5;1.0;134.7;1.2;1.6;0.0
16h46m14s;;;1032.0;12.2;;;;;;;64.45;7.3;1162149527000;29724;1.5;1.0;143.7;1.2;1.6;0.0
16h46m15s;;;1032.8;12.2;;;;;;;64.45;8.4;1163191162000;25448;1.5;1.0;166.4;1.2;1.6;0.0
16h46m16s;;;1032.3;12.2;;;;;;;65.55;9.4;1164232798000;26012;1.5;1.0;173.6;1.2;1.6;0.0
16h46m16s;;;1032.5;12.2;;;;;;;64.45;9.5;1164399459000;24135;1.5;1.0;191.2;1.2;1.6;0.0
16h46m17s;;;1032.6;12.2;;;;;;;63.35;10.6;1165441091000;20550;1.5;1.0;226.6;1.2;1.6;0.0
16h46m18s;;;1032.1;12.2;;;;;;;65.00;11.6;1166482727000;20733;1.5;1.0;211.1;1.2;1.6;0.0
16h46m19s;;;1032.3;12.2;;;;;;;64.45;12.7;1167524362000;20733;1.5;1.0;214.5;1.2;1.6;0.0
16h46m20s;;;1032.2;12.2;;;;;;;65.00;13.7;1168565997000;20733;1.5;1.0;215.7;1.2;1.6;0.0
16h46m21s;;;1032.5;12.2;;;;;;;66.65;14.8;1169607633000;20733;1.5;1.0;216.0;1.2;1.6;0.0
16h46m23s;;;1032.0;12.2;;;;;;;65.55;15.8;1170649268000;20733;1.5;1.0;217.0;1.2;1.6;0.0
16h46m24s;;;1031.9;12.2;;;;;;;64.45;16.9;1171690902000;20733;1.5;1.0;217.5;1.2;1.6;0.0
16h46m25s;;;1032.0;12.2;;;;;;;64.45;17.9;1172732534000;20733;1.5;1.0;218.5;1.2;1.6;0.0
16h46m26s;;;1033.1;12.3;;;;;;;64.45;19.0;1173774170000;20733;1.5;1.0;218.7;1.2;1.6;0.0
16h46m26s;;;1032.4;12.3;;;;;;;65.55;19.1;1173899168000;20733;1.5;1.0;218.7;1.2;1.6;0.0
16h46m27s;;;1032.6;12.3;;;;;;;65.55;20.1;1174982467000;20733;1.5;1.0;219.0;1.2;1.6;0.0
16h46m28s;;;1032.5;12.3;;;;;;;66.10;21.2;1176024100000;20733;1.5;1.0;219.1;1.2;1.6;0.0
16h46m29s;;;1032.3;12.3;;;;;;;64.45;22.2;1177065737000;20733;1.5;1.0;219.3;1.2;1.6;0.0
16h46m30s;;;1032.3;12.3;;;;;;;65.00;23.3;1178107371000;20733;1.5;1.0;219.5;1.2;1.6;0.0
16h46m31s;;;1032.7;12.3;;;;;;;66.65;24.3;1179149007000;20733;1.5;1.0;220.2;1.2;1.6;0.0
16h46m32s;;;1032.2;12.3;;;;;;;65.55;25.4;1180190640000;20733;1.5;1.0;221.4;1.2;1.6;0.0
16h46m33s;;;1032.2;12.3;;;;;;;65.00;26.4;1181232276000;20733;1.5;1.0;221.7;1.2;1.6;0.0
16h46m34s;;;1032.2;12.3;;;;;;;65.00;27.5;1182273909000;20733;1.5;1.0;220.2;1.2;1.6;0.0
16h46m35s;;;1031.8;12.3;;;;;;;66.10;28.5;1183315545000;20733;1.5;1.0;218.0;1.2;1.6;0.0
16h46m35s;;;1032.5;12.4;;;;;;;67.20;28.6;1183482205000;20733;1.5;1.0;218.2;1.2;1.6;0.0
16h46m36s;;;1032.5;12.3;;;;;;;65.55;29.7;1184523839000;20733;1.5;1.0;219.8;1.2;1.6;0.0
16h46m37s;;;1032.3;12.3;;;;;;;66.10;30.7;1185565475000;19717;1.5;1.0;237.0;1.2;1.6;0.0
16h46m38s;;;1032.4;12.3;;;;;;;65.55;31.8;1186607109000;23076;1.5;1.0;167.5;1.2;1.6;0.0
