HMS;Lat;Long;Pression;TempC;RLux;GLux;BLux;XMagneto;YMagneto;ZMagneto;TempCPU;Delta(s);TStamp;ExpTime;AnG;DiG;Lux;RedG;BlueG;Bright;TStamp2;ExpTime2;AnG2;DiG2;Lux2;RedG2;BlueG2;Bright2
10h21m16s;;;1009.5;19.3;984;1250;659;;;;41.90;0.0;164257913000;2473;1.0;1.0;1812.0;0.9;1.6;0.0;164278431000;2517;1.0;1.0;1851.9;0.9;1.6;0.0
10h21m17s;;;1009.2;19.3;982;1262;662;;;;45.20;1.1;165299405000;2473;1.0;1.0;1800.1;0.9;1.6;0.0;165319917000;2517;1.0;1.0;1847.8;0.9;1.6;0.0
10h21m18s;;;1009.7;19.3;966;1216;643;;;;46.30;2.1;166340897000;2547;1.0;1.0;1765.1;0.9;1.6;0.0;166361403000;2532;1.0;1.0;1836.4;0.9;1.6;0.0
10h21m19s;;;1009.7;19.3;967;1222;642;;;;46.30;3.2;167424048000;2547;1.0;1.0;1766.3;0.9;1.6;0.0;167402880000;2532;1.0;1.0;1827.5;0.9;1.6;0.0
10h21m20s;;;1009.7;19.3;976;1232;648;;;;46.85;4.2;168465539000;2606;1.0;1.0;1704.1;0.9;1.6;0.0;168444370000;2532;1.0;1.0;1812.4;0.9;1.6;0.0
10h21m21s;;;1009.4;19.3;972;1234;650;;;;46.85;5.3;169507032000;2636;1.0;1.0;1669.3;0.9;1.6;0.0;169527510000;2577;1.0;1.0;1815.1;0.9;1.6;0.0
10h21m22s;;;1009.7;19.3;926;1183;631;;;;47.95;6.3;170548522000;2636;1.0;1.0;1552.4;0.9;1.6;0.0;170568990000;2577;1.0;1.0;1782.2;0.9;1.6;0.0
10h21m23s;;;1009.7;19.3;899;1143;581;;;;48.50;7.4;171590014000;2680;1.0;1.0;1415.1;0.9;1.6;0.0;171610476000;2592;1.0;1.0;1675.9;0.9;1.6;0.0
10h21m24s;;;1009.5;19.3;885;1122;578;;;;48.50;8.4;172631506000;2710;1.0;1.0;1398.8;0.9;1.6;0.0;172651957000;2621;1.0;1.0;1650.9;0.9;1.6;0.0
10h21m25s;;;1009.1;19.3;754;873;486;;;;49.60;9.4;173714657000;2621;1.0;1.0;1223.1;0.9;1.6;0.0;173693442000;2651;1.0;1.0;1247.5;0.9;1.6;0.0
10h21m26s;;;1009.5;19.3;626;746;415;;;;50.70;10.0;174297892000;2814;1.0;1.0;1101.3;1.0;1.8;0.0;174276677000;2755;1.0;1.0;1112.1;1.0;1.8;0.0
10h21m27s;;;1009.7;19.3;520;683;367;;;;49.05;11.1;175339383000;4043;1.0;1.0;917.9;1.0;1.8;0.0;175318156000;3777;1.0;1.0;941.3;1.0;1.8;0.0
10h21m28s;;;1009.2;19.3;529;695;374;;;;50.15;12.1;176380876000;3880;1.0;1.0;946.2;1.0;1.8;0.0;176359638000;3569;1.0;1.0;1003.4;1.0;1.8;0.0
10h21m29s;;;1009.5;19.3;533;702;377;;;;50.70;13.2;177422368000;3851;1.0;1.0;927.0;1.0;1.8;0.0;177442778000;3540;1.0;1.0;982.9;1.0;1.8;0.0
10h21m30s;;;1009.5;19.3;527;693;372;;;;51.25;14.2;178463859000;3851;1.0;1.0;937.6;1.0;1.8;0.0;178484258000;3540;1.0;1.0;996.9;1.0;1.8;0.0
10h21m31s;;;1009.2;19.3;526;692;372;;;;50.70;15.3;179505350000;3851;1.0;1.0;926.9;1.0;1.8;0.0;179525743000;3569;1.0;1.0;988.2;1.0;1.8;0.0
10h21m32s;;;1008.9;19.3;524;691;371;;;;50.70;16.3;180588501000;3851;1.0;1.0;919.9;1.0;1.8;0.0;180567224000;3569;1.0;1.0;961.7;1.0;1.8;0.0
10h21m33s;;;1009.1;19.3;530;697;376;;;;51.80;17.4;181629992000;3880;1.0;1.0;924.4;1.0;1.8;0.0;181608709000;3599;1.0;1.0;981.4;1.0;1.8;0.0
10h21m34s;;;1009.4;19.3;526;693;372;;;;51.80;18.4;182671483000;3880;1.0;1.0;905.5;1.0;1.8;0.0;182691849000;3569;1.0;1.0;954.6;1.0;1.8;0.0
10h21m36s;;;1009.6;19.3;528;695;374;;;;51.80;19.5;183712976000;3880;1.0;1.0;922.7;1.0;1.8;0.0;183733341000;3599;1.0;1.0;985.6;1.0;1.8;0.0
10h21m36s;;;1009.5;19.4;528;695;373;;;;52.90;19.6;183837956000;3880;1.0;1.0;926.6;1.0;1.8;0.0;183858305000;3599;1.0;1.0;986.5;1.0;1.8;0.0
10h21m37s;;;1009.5;19.3;523;690;371;;;;51.25;20.6;184879445000;3910;1.0;1.0;896.8;1.0;1.8;0.0;184899788000;3629;1.0;1.0;956.1;1.0;1.8;0.0
10h21m38s;;;1009.3;19.3;529;697;374;;;;52.90;21.7;185920937000;3910;1.0;1.0;908.6;1.0;1.8;0.0;185941279000;3629;1.0;1.0;959.8;1.0;1.8;0.0
10h21m39s;;;1009.2;19.3;531;700;376;;;;52.35;22.7;187004086000;3910;1.0;1.0;893.9;1.0;1.8;0.0;186982751000;3629;1.0;1.0;945.4;1.0;1.8;0.0
10h21m40s;;;1008.7;19.3;530;699;374;;;;52.35;23.8;188045579000;3910;1.0;1.0;882.4;1.0;1.8;0.0;188024235000;3629;1.0;1.0;930.4;1.0;1.8;0.0
10h21m41s;;;1009.3;19.3;534;702;378;;;;53.45;24.8;189087071000;3910;1.0;1.0;918.3;1.0;1.8;0.0;189065718000;3599;1.0;1.0;977.9;1.0;1.8;0.0
10h21m42s;;;1009.3;19.3;522;685;369;;;;54.00;25.9;190128561000;3880;1.0;1.0;908.5;1.0;1.8;0.0;190148859000;3555;1.0;1.0;960.4;1.0;1.8;0.0
10h21m43s;;;1009.5;19.3;526;689;369;;;;54.00;26.9;191170053000;3851;1.0;1.0;914.9;1.0;1.8;0.0;191190342000;3525;1.0;1.0;984.1;1.0;1.8;0.0
10h21m44s;;;1009.0;19.3;526;684;368;;;;53.45;28.0;192211545000;3851;1.0;1.0;911.2;1.0;1.8;0.0;192231826000;3525;1.0;1.0;959.5;1.0;1.8;0.0
10h21m45s;;;1009.5;19.3;521;683;365;;;;54.00;29.0;193253036000;3955;1.0;1.0;881.5;1.0;1.8;0.0;193273308000;3584;1.0;1.0;939.5;1.0;1.8;0.0
10h21m45s;;;1009.3;19.4;521;683;368;;;;54.55;29.1;193378023000;3955;1.0;1.0;881.2;1.0;1.8;0.0;193398286000;3584;1.0;1.0;937.7;1.0;1.8;0.0
10h21m46s;;;1009.9;19.3;445;620;300;;;;55.10;30.2;194419517000;4177;1.0;1.0;948.7;1.0;1.8;0.0;194439771000;3925;1.0;1.0;846.3;1.0;1.8;0.0
10h21m47s;;;1009.5;19.3;679;904;470;;;;55.10;31.2;195460999000;2977;1.0;1.0;1168.0;1.0;1.8;0.0;195481252000;2873;1.0;1.0;1340.4;1.0;1.8;0.0
10h21m48s;;;1009.7;19.3;751;929;485;;;;55.10;32.3;196544150000;3006;1.0;1.0;1068.2;1.0;1.8;0.0;196522737000;2814;1.0;1.0;1302.2;1.0;1.8;0.0
